band,inception,musician
The Four Freshmen,1948,Ross Barbour
The Almighty,1988,Ricky Warwick
Ambeon,2001,Arjen Anthony Lucassen
The Pietasters,1990,Todd Eckhardt
Amaral,1992,Eva Amaral
Amberian Dawn,2006,Jukka Koskinen
Merzbow,1979,Tetsuo Sakaibara
Klee,2002,Q66995884
Amberian Dawn,2006,Heikki Saari
Merzbow,1979,Kiyoshi Mizutani
INVSN,2008,Dennis Lyxzén
Love/Hate,1985,Tracy G
Amberian Dawn,2006,Heidi Parviainen
Amberian Dawn,2006,Kasperi Heikkinen
LCD Soundsystem,2001,James Murphy
Further Seems Forever,1998,Chris Carrabba
Killswitch Engage,1998,Howard Jones
King's X,1980,Jerry Gaskill
LCD Soundsystem,2001,Nancy Whang
Deicide,1987,Glen Benton
Sieges Even,2004,Arno Menses
King's X,1980,Doug Pinnick
Oysterhead,2000,Stewart Copeland
3 Doors Down,1996,Brad Arnold
Japan,1974,David Sylvian
King's X,1980,Ty Tabor
Anekdoten,1991,Nicklas Barker
Ultra Vivid Scene,1987,Kurt Ralske
Crowbar,1989,Kirk Windstein
Scissor Sisters,2001,Ana Matronic
Scissor Sisters,2001,Paddy Boom
Rainbirds,1986,Ulrike Haage
Rainbirds,1986,Rodrigo Andrés González Espindola
Front 242,1981,Jean-Luc De Meyer
James Chance and the Contortions,1977,James Chance
Lacuna Coil,1994,Andrea Ferro
Scissor Sisters,2001,Del Marquis
Rainbirds,1986,Katharina Franck
Joy Division,1976,Ian Curtis
Whirlpool Productions,1991,Eric D. Clark
Rose Chronicles,1993,Kristy Thirsk
Crashdïet,2000,Martin Sweet
Scissor Sisters,2001,Jake Shears
Yat-Kha,1991,Albert Kuvezin
Franz Ferdinand,2002,Robert Hardy
Franz Ferdinand,2002,Nicholas McCarthy
The Presidents of the United States of America,1993,Dave Dederer
Scissor Sisters,2001,Babydaddy
Franz Ferdinand,2002,Paul Thomson
The Script,2001,Danny O'Donoghue
Allman Brothers Band,1969,Duane Allman
13 & God,2003,Doseone
The Monkees,1966,Davy Jones
The Monkees,1966,Peter Tork
Lacuna Coil,1994,Cristina Scabbia
Euphoria,1988,Palash Sen
Allman Brothers Band,1969,Gregg Allman
Amen,1994,Casey Chaos
Franz Ferdinand,2002,Miaoux Miaoux
The Script,2001,Glen Power
Sarcófago,1985,Wagner Lamounier
Franz Ferdinand,2002,Dino Bardot
Genitorturers,1991,Eric Griffin
Shakespears Sister,1988,Marcella Detroit
The Script,2001,Mark Sheehan
ZZ Top,1969,Frank Beard
The Monkees,1966,Michael Nesmith
Franz Ferdinand,2002,Alex Kapranos
Gwar,1984,list of Gwar members
Amen Corner,1966,Andy Fairweather Low
Genitorturers,1991,Gen-XX
Shakespears Sister,1988,Siobhan Fahey
Electrelane,1998,Mia Clarke
Little Brother,2001,9th Wonder
Master,1983,Paul Speckmann
Betzefer,1998,Avital Tamir
Heart of Gold Band,1980,Keith Godchaux
Fotheringay,1970,Sandy Denny
Gun,1987,Mark Rankin
The Monkees,1966,Micky Dolenz
Supertramp,1969,Roger Hodgson
Fame,2002,Jessica Andersson
Machine Men,1998,J-V Hintikka
Bring Me the Horizon,2004,Oliver Sykes
Static-X,1994,Wayne Static
The String Cheese Incident,1993,Bill Nershi
Animotion,1983,Paul Antonelli
The Wonder Stuff,1986,Miles Hunt
Machine Men,1998,Antony Parviainen
La Oreja de Van Gogh,1996,Xabi San Martín
La Oreja de Van Gogh,1996,Leire Martínez
Sinawe,1986,Shin Daechul
La Oreja de Van Gogh,1996,Haritz Garde
Talulah Gosh,1986,Amelia Fletcher
La Oreja de Van Gogh,1996,Amaia Montero
Mocedades,1968,Amaya Uranga
Nine Muses,2010,Kyungri
La Oreja de Van Gogh,1996,Álvaro Fuentes
Savage Garden,1994,Darren Hayes
Casa Loma Orchestra,1927,Glen Gray
Jaurim,1997,Q12585562
Jaurim,1997,Q12588851
Jaurim,1997,Q12611727
La Oreja de Van Gogh,1996,Pablo Benegas
Nine Muses,2010,Lee Keum-jo
P.O.D.,1992,Sonny Sandoval
Tarakany!,1991,Q4380402
Fort Minor,2004,Mike Shinoda
Clazziquai,2001,DJ Clazzi
Dirty Rotten Imbeciles,1982,Spike Cassidy
S Club 8,2001,Daisy Evans
Kaoma,1989,Loalwa Braz
Jaurim,1997,Kim Yun-a
The Jessica Fletchers,1997,Ravi
S Club 8,2001,Frankie Sandford
Tarakany!,1991,Dmitriy Kezhvatov
S Club 8,2001,Hannah Richings
S Club 8,2001,Stacey McClean
S Club 8,2001,Jay Asforis
Tarakany!,1991,Vasiliy Lopatin
S Club 8,2001,Aaron Renfree
Geordie,1972,Brian Johnson
How to Destroy Angels,2010,Trent Reznor
S Club 8,2001,Calvin Goldspink
S Club 8,2001,Rochelle Humes
Criminal,1991,Anton Reisenegger
Islands,2005,Jim Guthrie
Pigbag,1980,Roger Freeman
Tarakany!,1991,Dmitry Spirin
Finntroll,1997,Samuli Ponsimaa
Sonata Arctica,1996,Elias Viljanen
Gorillaz,1998,Noodle
Gorillaz,1998,Jamie Hewlett
Gorillaz,1998,Murdoc Niccals
Sonata Arctica,1996,Mikko Härkin
Sonata Arctica,1996,Janne Kivilahti
Sonata Arctica,1996,Pasi Kauppinen
Zeni Geva,1987,Ikuo Taketani
Clannad,1970,Enya
Kaiser Chiefs,2000,Ricky Wilson
Manga,2001,Ferman Akgül
Eagles,1971,Joe Walsh
Eagles,1971,Randy Meisner
Van Halen,1972,Michael Anthony
Gorillaz,1998,Damon Albarn
Van Halen,1972,Sammy Hagar
Eagles,1971,Don Henley
Eagles,1971,Don Felder
Eagles,1971,Timothy Bruce Schmit
Eagles,1971,Bernie Leadon
Eagles,1971,Glenn Frey
Van Halen,1972,Eddie Van Halen
Indexi,1962,Q12633051
Indexi,1962,Q12646016
Van Halen,1972,David Lee Roth
Venom,1979,Conrad Lant
Creedence Clearwater Revival,1967,Stu Cook
Indexi,1962,Davorin Popović
Creedence Clearwater Revival,1967,John Fogerty
Creedence Clearwater Revival,1967,Tom Fogerty
Indexi,1962,Slobodan Kovačević
Van Halen,1972,Alex Van Halen
Van Halen,1972,Wolfgang Van Halen
Portishead,1991,Geoff Barrow
Creedence Clearwater Revival,1967,Doug Clifford
The Yardbirds,1963,Jimmy Page
Indexi,1962,Milić Vukašinović
Indexi,1962,Sinan Alimanović
The Corrs,1990,Jim Corr
The Yardbirds,1963,Keith Relf
The Corrs,1990,Sharon Corr
The Corrs,1990,Andrea Corr
Indexi,1962,Fadil Redžić
Sonata Arctica,1996,Tony Kakko
Sonata Arctica,1996,Jani Liimatainen
Sonata Arctica,1996,Tommy Portimo
Zeni Geva,1987,KK Null
Sonata Arctica,1996,Marko Paasikoski
Sonata Arctica,1996,Henrik Klingenberg
Burning Image,1982,Joe Sparks
Steamhammer,1968,Martin Pugh
Armageddon,1974,Bobby Caldwell
The Brilliant Green,1995,Shunsaku Okuda
Sweet Inspirations,1963,Cissy Houston
Romeo Void,1979,Debora Iyall
Cinderella,1983,Tom Keifer
Cinderella,1983,Fred Coury
The Brilliant Green,1995,Tomoko Kawase
Świetliki,1992,Marcin Świetlicki
Cinderella,1983,Jeff LaBar
The Quarrymen,1956,John Lennon
Cinderella,1983,Eric Brittingham
The McCoys,1962,Rick Derringer
The Main Ingredient,1964,Cuba Gooding Sr.
Box of Frogs,1983,Chris Dreja
Carbon/Silicon,2002,Mick Jones
Melvins,1983,Buzz Osborne
The Wailers,1963,Bob Marley
Vinegar Joe,1972,Elkie Brooks
Pretty Ricky,1997,Pleasure P
Aeternus,1993,Ares
Cusco,1980,Michael Holm
Deee-Lite,1990,Towa Tei
Eden Lost,1999,Ignacio Prieto
BWO,2004,Alexander Bard
BWO,2004,Marina Schiptjenko
Katatonia,1991,Anders Nyström
Katatonia,1991,Per Eriksson
Ultraje a Rigor,1980,Roger Moreira
Funkadelic,1968,George Clinton
Belle Epoque,1976,Evy
Falling in Reverse,2008,Ronnie Radke
Merciless Death,2003,Dan Holder
BWO,2004,Martin Rolinski
Katatonia,1991,Mikael Åkerfeldt
Katatonia,1991,Mattias Norrman
Katatonia,1991,Fredrik Norrman
Katatonia,1991,Daniel Moilanen
Týr,1998,Pól Arni Holm
Truly,1990,Robert Roth
Fourplay,1991,Lee Ritenour
Týr,1998,Heri Joensen
Skin,2007,Gackt
Budgie,1967,Burke Shelley
Skin,2007,Yoshiki
Katatonia,1991,Jonas Renkse
Katatonia,1991,Daniel Liljekvist
The Fabulous Thunderbirds,1974,Jimmie Vaughan
Skin,2007,Miyavi
Skin,2007,Sugizo
Feminnem,2004,Pamela Ramljak
Kush,2000,B-Real
Týr,1998,Terji Skibenæs
Stormtroopers of Death,1985,Scott Ian
Týr,1998,Kári Streymoy
Feminnem,2004,Nika Antolos
Týr,1998,Gunnar H. Thomsen
The Flaming Lips,1983,Wayne Coyne
Fozzy,1999,Chris Jericho
Feminnem,2004,Neda Parmać
Chic,1976,Nile Rodgers
Asian Kung-Fu Generation,1996,Kiyoshi Ijichi
Asian Kung-Fu Generation,1996,Takahiro Yamada
Feminnem,2004,Ivana Marić
Týr,1998,Allan Streymoy
Asian Kung-Fu Generation,1996,Kensuke Kita
Fozzy,1999,Rich Ward
Fozzy,1999,Frank Fontsere
Mastercastle,2008,Giorgia Gueglio
Prince and the Revolution,1979,Prince
Prince and the Revolution,1979,Lisa Coleman
Me First and the Gimme Gimmes,1995,Spike Slawson
Chic,1976,Bernard Edwards
Of Monsters and Men,2010,Nanna Bryndís Hilmarsdóttir
Asian Kung-Fu Generation,1996,Masafumi Gotoh
Prince and the Revolution,1979,Brownmark
The Camerawalls,2007,Clementine
Steps Ahead,1979,Mike Mainieri
Prince and the Revolution,1979,Wendy Melvoin
Prince and the Revolution,1979,Doctor Fink
Nocturnal Emissions,1980,Nigel Ayers
The Faders,2004,Molly McQueen
Bandits of the Acoustic Revolution,2001,Tomas Kalnoky
Easy Star All-Stars,1997,Michael Goldwasser
Circle Jerks,1994,Keith Morris
Bad Religion,1980,Brian Baker
Burzum,1991,Varg Vikernes
Bad Religion,1980,Greg Graffin
Bad Religion,1980,Greg Hetson
Bad Religion,1980,Brett Gurewitz
Bad Religion,1980,Brooks Wackerman
Sugababes,1998,Siobhán Donaghy
Rhapsody of Fire,1993,Alex Holzwarth
Rhapsody of Fire,1993,Luca Turilli
Rhapsody of Fire,1993,Fabio Lione
Rhapsody of Fire,1993,Oliver Holzwarth
The Diplomats,1997,Cam'ron
Rhapsody of Fire,1993,Tom Hess
Rhapsody of Fire,1993,Sascha Paeth
Rhapsody of Fire,1993,Alex Staropoli
Rhapsody of Fire,1993,Patrice Guers
Rhapsody of Fire,1993,Dominique Leurquin
Noel Gallagher's High Flying Birds,2010,Noel Gallagher
Rhapsody of Fire,1993,Alessandro Lotta
Paramaecium,1991,Andrew Tompkins
17 Hippies,1995,Christopher Blenkinsop
17 Hippies,1995,Kiki Sauer
17 Hippies,1995,Daniel Cordes
17 Hippies,1995,Elmar Gutmann
Dezperadoz,2000,Tom Angelripper
Shaka Ponk,2004,Q71813415
Shaka Ponk,2004,Q71814454
Shaka Ponk,2004,Q71814528
Shaka Ponk,2004,Q71814622
Shaka Ponk,2004,Q71814663
Shaka Ponk,2004,Q71814714
Shaka Ponk,2004,Q71814746
16 Horsepower,1992,David Eugene Edwards
The Corrs,1990,Caroline Corr
Azymuth,1973,Ivan Conti
17 Hippies,1995,Lutz Ulbrich
Bad Religion,1980,Jay Bentley
They Might Be Giants,1982,Danny Weinkauf
Cattle Decapitation,1996,Travis Ryan
Will Haven,1995,Jeff Irwin
Ajattara,1996,Jan Rechberger
Saigon Kick,1988,Matt Kramer
Ajattara,1996,Tomi Koivusaari
Agua Bella,2000,Maricarmen Marín Salinas
Ajattara,1996,Juha Harju
Ajattara,1996,Atte Sarkima
Norma Jean,1997,Daniel Davison
Ajattara,1996,Tonmi Lillman
Agua Bella,2000,Evelyn Campos
Air Supply,1975,Russell Hitchcock
Agnostic Front,1980,Roger Miret
Ajattara,1996,Mynni Luukkainen
Ajattara,1996,Pasi Koskinen
The Black Mages,2002,Nobuo Uematsu
The Desert Rose Band,1985,John Jorgenson
Tony! Toni! Toné!,1988,Raphael Saadiq
Ajattara,1996,Pekka Kasari
Agent Steel,1984,Juan Garcia
Tony! Toni! Toné!,1988,D'wayne Wiggins
The Desert Rose Band,1985,Chris Hillman
Airbourne,2003,Joel O'Keeffe
MGMT,2005,Benjamin Goldwasser
The Desert Rose Band,1985,Herb Pedersen
Agua Bella,2000,Cielo Torres
MGMT,2005,Andrew VanWyngarden
Ĵomart and Nataŝa,1985,Q66013325
Ĵomart and Nataŝa,1985,Q66013341
Trivium,1999,Travis Smith
They Might Be Giants,1982,Marty Beller
They Might Be Giants,1982,John Linnell
Aiden,2003,Wil Francis
They Might Be Giants,1982,Dan Miller
Agua Marina,1976,Luis Paz
Trivium,1999,Corey Beaulieu
SMV,2008,Victor Wooten
Akcent,1999,Adrian Sînă
Wizzard,1972,Roy Wood
T'Pau,1986,Carol Decker
The Darkness,2000,Justin Hawkins
Aghora,1995,Santiago Dobles
Agoraphobic Nosebleed,1994,Scott Hull
They Might Be Giants,1982,John Flansburgh
Trivium,1999,Matt Heafy
Dead Kennedys,1978,Jello Biafra
Dead Kennedys,1978,Brandon Cruz
Tenacious D,1994,Jack Black
Rush,1968,Alex Lifeson
Pain,1997,Peter Tägtgren
Dead Kennedys,1978,Bruce Slesinger
Dead Kennedys,1978,Jeff Penalty
Dead Kennedys,1978,Carlos Cadona
Dead Kennedys,1978,D.H. Peligro
Dead Kennedys,1978,East Bay Ray
The Flowers of Romance,1976,Sid Vicious
Rush,1968,John Rutsey
Immortal,1990,Harald Nævdal
Boston,1976,Brad Delp
The Flowers of Romance,1976,Palmolive
The Stooges,1967,Ron Asheton
The Stooges,1967,Scott Asheton
The Stooges,1967,Iggy Pop
Godsmack,1995,Sully Erna
Tenacious D,1994,Kyle Gass
Immortal,1990,Reidar Horghagen
1 Giant Leap,2001,Jamie Catto
Public Enemy,1986,Flavor Flav
Immortal,1990,Olve Eikemo
Public Enemy,1986,Chuck D
Atomic Kitten,1998,Natasha Hamilton
Shearwater,2000,Jonathan Meiburg
Lamb of God,1994,Randy Blythe
Public Enemy,1986,Professor Griff
Public Enemy,1986,DJ Lord
Freshlyground,2002,Zolani Mahola
Thin Lizzy,1969,Phil Lynott
Bonzo Dog Doo-Dah Band,1962,Neil Innes
The Buckinghams,1966,Dennis Tufano
Owl City,2007,Adam Young
Zimmers Hole,1991,Chris Valagao
Rush,1968,Jeff Jones
Rush,1968,Geddy Lee
Vaya Con Dios,1986,Dani Klein
Rush,1968,Neil Peart
Dead Kennedys,1978,Klaus Flouride
Jamiroquai,1992,Jay Kay
The Stooges,1967,Dave Alexander
Azra,1977,Branimir Štulić
Threshold,1988,Karl Groom
Angelcorpse,1995,Paul Collier
Angelcorpse,1995,Tony Laureano
The Ronettes,1959,Ronnie Spector
The Alan Parsons Project,1975,Eric Woolfson
The Bronx,2002,Matt Caughthran
Angelcorpse,1995,Gene Palubicki
Angelcorpse,1995,John Longstreth
Angels of Light,1998,Michael Gira
Embraze,1994,Lauri Tuohimaa
Angelcorpse,1995,Pete Helmkamp
Eighteen Visions,1995,James Hart
Jackson United,2008,Chris Shiflett
Urban Symphony,2007,Sandra Nurmsalu
At the Gates,1990,Alf Svensson
Dolchamar,1999,Leena Peisa
L.A. Guns,1983,Phil Lewis
L.A. Guns,1983,Adam Hamilton
L.A. Guns,1983,Kenny Kweens
L.A. Guns,1983,Chad Stewart
L.A. Guns,1983,Chris Holmes
L.A. Guns,1983,Danny Nordahl
L.A. Guns,1983,Paul Black
L.A. Guns,1983,Robert Stoddard
Urban Symphony,2007,Mari Möldre
L.A. Guns,1983,Ace Von Johnson
L.A. Guns,1983,Tracii Guns
L.A. Guns,1983,Steve Riley
L.A. Guns,1983,Johnny Monaco
L.A. Guns,1983,Chris Van Dahl
L.A. Guns,1983,Michael Jagosz
L.A. Guns,1983,Rob Gardner
L.A. Guns,1983,Brent Muscat
Urban Symphony,2007,Mann Helstein
L.A. Guns,1983,Ralph Saenz
L.A. Guns,1983,Jeremy Guns
L.A. Guns,1983,Jizzy Pearl
L.A. Guns,1983,Eric Grossman
L.A. Guns,1983,Scott Griffin
L.A. Guns,1983,Mick Cripps
Fastball,1994,Tony Scalzo
L.A. Guns,1983,Richard Madenfort
L.A. Guns,1983,Axl Rose
Urban Symphony,2007,Silvia Ilves
L.A. Guns,1983,Keff Ratcliffe
L.A. Guns,1983,Stefan Adika
L.A. Guns,1983,Ole Beich
L.A. Guns,1983,Chuck Garric
L.A. Guns,1983,Dilana
Best Coast,2009,Bethany Cosentino
L.A. Guns,1983,Marty Casey
L.A. Guns,1983,Nickey Alexander
L.A. Guns,1983,Stacey Blades
Faithless,1995,Sister Bliss
Tonight Alive,2008,Jenna McDougall
L.A. Guns,1983,Kelly Nickels
L.A. Guns,1983,Scott Foster Harris
The Mothers of Invention,1964,Frank Zappa
The Humblebums,1965,Billy Connolly
L.A. Guns,1983,Keri Kelli
Faithless,1995,Maxi Jazz
L.A. Guns,1983,Joe Lesté
Faithless,1995,Rollo Armstrong
Krypteria,2001,Ji-In Cho
The Mothers of Invention,1964,Jimmy Carl Black
The Mothers of Invention,1964,Roy Estrada
Bitch Magnet,1986,Sooyoung Park
The Mothers of Invention,1964,Ray Collins
Ricchi e Poveri,1967,Angela Brambati
Ricchi e Poveri,1967,Marina Occhiena
Mourning Widows,1997,Nuno Bettencourt
Threshold,1988,Andrew McDermott
Angelfish,1992,Shirley Manson
The Alan Parsons Project,1975,Alan Parsons
De La Soul,1987,Vincent Mason
Les Cowboys Fringants,1997,Dominique Lebeau
pre)Thing,2001,Rust Epique
Luca Turilli,1999,Luca Turilli
Luca Turilli,1999,Miro
Extreme,1985,Nuno Bettencourt
Extreme,1985,Kevin Figueiredo
Extreme,1985,Mike Mangini
Extreme,1985,Carl Restivo
My Morning Jacket,1998,Jim James
Extreme,1985,Gary Cherone
Lightning Bolt,1994,Brian Chippendale
Extreme,1985,Pat Badger
Extreme,1985,Paul Geary
Project Pitchfork,1989,Dirk Scheuber
Project Pitchfork,1989,Bobok
Thee Headcoatees,1991,Holly Golightly
One,1999,Constantinos Christophorou
Project Pitchfork,1989,Peter Spilles
Project Pitchfork,1989,Carsten Klatte
The Gathering,1989,Frank Boeijen
U96,1991,Alberto Hauss
Power Quest,2001,Steve Williams
The Tragically Hip,1983,Gord Downie
Warlord,1981,Mark Zonder
Clap Your Hands Say Yeah,2004,Alec Ounsworth
Marduk,1990,Daniel Rostén
Warlord,1981,William J. Tsamis
De La Soul,1987,David Jude Jolicoeur
Alvin és a Mókusok,1993,Q56107256
Obscura,2002,Jeroen Paul Thesseling
The Gathering,1989,Anneke van Giersbergen
Mr. Children,1988,Kazutoshi Sakurai
Mr. Children,1988,Hideya Suzuki
Hellhammer,1982,Thomas Gabriel Fischer
Bad Boys Blue,1984,John McInerney
Hellhammer,1982,Martin Eric Ain
Mr. Children,1988,Kenichi Tahara
Pokolgép,1980,Attila Tóth
De La Soul,1987,Kelvin Mercer
Mr. Children,1988,Keisuke Nakagawa
Dies Irae,1992,Maurycy Stefanowicz
Fear of God,1986,Dave Phillips
Virgin,2000,Doda
Fireside,1992,Kristofer Åström
Amorphis,1990,Esa Holopainen
Amorphis,1990,Olli-Pekka Laine
Amorphis,1990,Tomi Joutsen
Amorphis,1990,Kim Rantala
Amorphis,1990,Jan Rechberger
American Football,1997,Mike Kinsella
Amorphis,1990,Tomi Koivusaari
The Soul Stirrers,1926,Sam Cooke
Amorphis,1990,Niclas Etelävuori
Tha Alkaholiks,1992,Tash
Amoral,1997,Ari Koivunen
OutKast,1992,Big Boi
Amorphis,1990,Santeri Kallio
W.A.S.P.,1982,Blackie Lawless
Amorphis,1990,Pasi Koskinen
Green on Red,1979,Dan Stuart
Cloven Hoof,1979,Lee Payne
Amorphis,1990,Kasper Mårtenson
Amorphis,1990,Pekka Kasari
The Plimsouls,1978,Peter Case
Paramore,2003,Hayley Williams
Eyes of Eden,2005,Waldemar Sorychta
Paramore,2003,Taylor York
Métal Urbain,1976,Éric Débris
OutKast,1992,André 3000
Paramore,2003,Zac Farro
American Head Charge,1997,Chad Hanks
The Cassandra Complex,1980,Rodney Orpheus
The Communards,1985,Jimmy Somerville
S Club 7,1999,Jo O'Meara
Rilo Kiley,1998,Jenny Lewis
S Club 7,1999,Tina Barrett
S Club 7,1999,Jon Lee
S Club 7,1999,Rachel Stevens
The Four Seasons,1960,Bob Gaudio
The Mamas & the Papas,1965,Cass Elliot
Ars Rediviva,1951,Milan Munclinger
S Club 7,1999,Paul Cattermole
The Artwoods,1963,Art Wood
The Paramounts,1960,Robin Trower
The Mamas & the Papas,1965,Denny Doherty
The Christians,1985,Heavy Metal Kids
S Club 7,1999,Bradley McIntosh
The Mamas & the Papas,1965,Michelle Phillips
Tristania,1997,Vibeke Stene
Agalloch,1995,Aesop Dekker
Lovebugs,1992,Adrian Sieber
Aqua,1989,Lene Nystrøm
After Forever,1995,Floor Jansen
Agalloch,1995,John Haughm
S Club 7,1999,Hannah Spearritt
D.D.E.,1992,Arnt Egil Rånes
Eve's Plum,1991,Vitamin C
Catherine Wheel,1990,Rob Dickinson
D.D.E.,1992,Eskil Brøndbo
The Byrds,1964,Roger McGuinn
D.D.E.,1992,Bård Jørgen Iversen
The Kooks,2004,Luke Pritchard
D.D.E.,1992,Bjarne Brøndbo
Bill Wyman's Rhythm Kings,1997,Bill Wyman
D.D.E.,1992,Eivind Berre
Public Enemy,1986,Khari Wynn
Groove Theory,1995,Bryce Wilson
Armored Saint,1982,John Bush
D.D.E.,1992,Frode Viken
North Mississippi Allstars,1996,Luther Dickinson
Lady Antebellum,2006,Hillary Scott
Art of Noise,1983,Anne Dudley
Art of Noise,1983,Trevor Horn
MD.45,1996,Dave Mustaine
Armor for Sleep,2001,Ben Jorgensen
New Kids on the Block,1984,Jonathan Knight
Art of Noise,1983,Gary Langan
Korol i Shut,1988,Mikhail Gorsheniov
Korol i Shut,1988,Andrei Knyazev
DragonForce,1999,ZP Theart
New Kids on the Block,1984,Donnie Wahlberg
The Gathering,1989,Hugo Prinsen Geerligs
RBD,2004,Maite Perroni
Samael,1987,Vorph
Unwound,1991,Justin Trosper
Art of Noise,1983,J. J. Jeczalik
Art of Noise,1983,Paul Morley
Metal Church,1980,Mike Howe
New Kids on the Block,1984,Joey McIntyre
The Gathering,1989,Niels Duffhuës
New Kids on the Block,1984,Jordan Knight
RBD,2004,Dulce María
The Gathering,1989,Silje Wergeland
Metal Church,1980,Kurdt Vanderhoof
The Gathering,1989,Marjolein Kooijman
New Kids on the Block,1984,Danny Wood
Porcupine Tree,1987,Steven Wilson
Art of Noise,1983,Lol Creme
Vista Chino,2010,Nick Oliveri
Shaman,2000,Ricardo Confessori
RBD,2004,Alfonso Herrera Rodriguez
Giant Steps,1988,Colin Campsie
RBD,2004,Anahí Puente
RBD,2004,Christian Chávez
The GTOs,1986,Cynthia Wells
RBD,2004,Christopher von Uckermann
The Mamas & the Papas,1965,John Phillips
N.W.A,1986,Arabian Prince
Dalis Car,1984,Peter Murphy
The Libertines,1997,Carl Barât
The Bangles,1981,Vicki Peterson
The Bangles,1981,Michael Steele
Flyleaf,2002,Kristen May
Procol Harum,1967,Gary Brooker
The Bangles,1981,Susanna Hoffs
The Bangles,1981,Debbi Peterson
Beastie Boys,1981,Mix Master Mike
Beastie Boys,1981,John Berry
Zodiac Mindwarp and the Love Reaction,1986,Jimmy Cauty
Zodiac Mindwarp and the Love Reaction,1986,Kid Chaos
Beastie Boys,1981,"Eric ""Bobo"" Correa"
Beastie Boys,1981,Adam Horowitz
Flyleaf,2002,Lacey Sturm
N.W.A,1986,Ice Cube
Manic Street Preachers,1986,James Dean Bradfield
Beastie Boys,1981,Amery Smith
Beastie Boys,1981,DJ Hurricane
Beastie Boys,1981,Kate Schellenbach
N.W.A,1986,Mark Wade
Beastie Boys,1981,Rick Rubin
N.W.A,1986,DJ Yella
Beastie Boys,1981,Adam Yauch
Beastie Boys,1981,Mike D
Beastie Boys,1981,Money Mark
Beastie Boys,1981,Doctor Dré
Beastie Boys,1981,Alfredo Ortiz
N.W.A,1986,Dr. Dre
The All-American Rejects,1999,Tyson Ritter
N.W.A,1986,MC Ren
UB40,1978,Duncan Campbell
Anitas Livs,1987,Lise-Lotte Norelius
In Legend,2010,Bastian Emig
Massacration,2002,Fausto Fanti
UB40,1978,Earl Falconer
Slapp Happy,1972,Peter Blegvad
Bulldozer,1980,Alberto Contini
Edward Sharpe and the Magnetic Zeros,2005,Alex Ebert
Animals as Leaders,2007,Tosin Abasi
Paradox,1986,Charly Steinhauer
Animal,1988,Randy Piper
Angtoria,2002,Sarah Jezebel Deva
Dark Fortress,1994,Florian Magnus Maier
Bethlehem,1991,Niklas Kvarforth
Army of Anyone,2005,Dean DeLeo
Army of Anyone,2005,Robert DeLeo
KYPCK,2007,Hiili Hiilesmaa
Blind Faith,1968,Eric Clapton
Army of Anyone,2005,Richard Patrick
Caramell,1998,Dinah Nah
KYPCK,2007,Antti Karihtala
KYPCK,2007,Erkki Seppänen
Blind Faith,1968,Ginger Baker
Army of Anyone,2005,Ray Luzier
Blind Faith,1968,Steve Winwood
Tally Hall,2002,Rob Cantor
KYPCK,2007,Sami Lopakka
KYPCK,2007,Sami Kukkohovi
Blind Faith,1968,Ric Grech
Daniel Lioneye,2001,Mikko Paananen
Daniel Lioneye,2001,Ike Vil
KYPCK,2007,Jaska Ylä-Rautio
Daniel Lioneye,2001,Hiili Hiilesmaa
Skids,1977,Stuart Adamson
Anitas Livs,1987,Monica Åslund
Poison,1980,Bret Michaels
Them Crooked Vultures,2009,Josh Homme
Riva,1988,Emilija Kokić
Tripping Daisy,1991,Tim DeLaughter
Daniel Lioneye,2001,Mikko Lindström
Massacration,2002,Bruno Sutter
The Mess Hall,2001,Jed Kurzel
Ideal,1980,Annette Humpe
Daniel Lioneye,2001,Janne Puurtinen
Sopor Aeternus & the Ensemble of Shadows,1989,Anna-Varney Cantodea
Fuse,1968,Rick Nielsen
Daniel Lioneye,2001,Ville Valo
UB40,1978,Ali Campbell
UB40,1978,Norman Hassan
Angry Samoans,1978,Mike Saunders
Anitas Livs,1987,Anita Livstrand
The Supremes,1959,Diana Ross
The Supremes,1959,Florence Ballard
The Supremes,1959,Lynda Laurence
The Supremes,1959,Barbara Martin
The Supremes,1959,Mary Wilson
Shadowfax,1972,Armen Chakmakian
The Supremes,1959,Susaye Greene
The Supremes,1959,Cindy Birdsong
Shadowfax,1972,David C. Lewis
Yo La Tengo,1984,Georgia Hubley
The Supremes,1959,Scherrie Payne
The Supremes,1959,Betty McGlown
The Supremes,1959,Jean Terrell
The Killers,2001,Dave Keuning
The Killers,2001,Mark Stoermer
The Killers,2001,Brandon Flowers
The Killers,2001,Ronnie Vannucci
Village People,1977,Felipe Rose
Zone,1999,Miyu Nagase
Village People,1977,Glenn Hughes
Village People,1977,Randy Jones
Zombie Nation,1999,John Starlight
L'Arc-en-Ciel,1991,Sakura
L'Arc-en-Ciel,1991,Ken
L'Arc-en-Ciel,1991,Hyde
Village People,1977,David Hodo
L'Arc-en-Ciel,1991,Tetsuya
Village People,1977,Victor Willis
Village People,1977,Alex Briley
