band,inception,musician
The Black Eyed Peas,1995,Taboo
The Black Eyed Peas,1995,will.i.am
The Black Eyed Peas,1995,Kim Hill
Disturbed,1994,John Moyer
Disturbed,1994,Erich Awalt
The Black Eyed Peas,1995,apl.de.ap
Disturbed,1994,Mike Wengren
Disturbed,1994,David Draiman
The Black Eyed Peas,1995,Sierra Swan
Disturbed,1994,Dan Donegan
Primal Fear,1997,Mat Sinner
Bee Gees,1958,Robin Gibb
Primal Fear,1997,Ralf Scheepers
Disturbed,1994,Steve Kmak
Bee Gees,1958,Barry Gibb
Bee Gees,1958,Vince Melouney
Jonas Brothers,2005,Joe Jonas
Bee Gees,1958,Maurice Gibb
ZZ Top,1969,Billy Gibbons
Jonas Brothers,2005,Kevin Jonas
ZZ Top,1969,Dusty Hill
Juli,1999,Eva Briegel
Juli,1999,Andreas Herde
Juli,1999,Marcel Römer
Juli,1999,Simon Triebel
Can,1968,Malcolm Mooney
Can,1968,David C. Johnson
112,1991,Quinnes Parker
Can,1968,Irmin Schmidt
Children of Bodom,1993,Alexi Laiho
Can,1968,Jaki Liebezeit
Children of Bodom,1993,Jaska Raatikainen
Children of Bodom,1993,Roope Latvala
Can,1968,Michael Karoli
Children of Bodom,1993,Henkka Seppälä
Can,1968,Holger Czukay
Can,1968,Rosko Gee
Zebrahead,1996,Ali Tabatabaee
Children of Bodom,1993,Janne Wirman
Children of Bodom,1993,Alexander Kuoppala
Children of Bodom,1993,Daniel Freyberg
Can,1968,Rebop Kwaku Baah
Can,1968,Damo Suzuki
Zebda,1985,Magyd Cherfi
Juli,1999,Jonas Pfetzing
System of a Down,1995,Shavo Odadjian
Coldplay,1996,Jonny Buckland
Coldplay,1996,Phil Harvey
Coldplay,1996,Chris Martin
Coldplay,1996,Guy Berryman
Coldplay,1996,Will Champion
Kraftwerk,1970,Florian Schneider
Kraftwerk,1970,Klaus Dinger
Kraftwerk,1970,Fritz Hilpert
Kraftwerk,1970,Klaus Röder
System of a Down,1995,John Dolmayan
Kraftwerk,1970,Falk Grieffenhagen
Kraftwerk,1970,Michael Rother
Kraftwerk,1970,Fernando Abrantes
System of a Down,1995,Daron Malakian
Kraftwerk,1970,Wolfgang Flür
System of a Down,1995,Serj Tankian
System of a Down,1995,Ontronik Khachaturian
Black Rebel Motorcycle Club,1998,Peter Hayes
fripSide,2002,Yoshino Nanjō
fripSide,2002,Satoshi Yaginuma
Arch Enemy,1996,Alissa White-Gluz
Groove Coverage,2001,DJ Novus
Sanctuary,1985,Warrel Dane
Unsane,1988,Pete Shore
The Statler Brothers,1955,Lew DeWitt
Andromeda,1999,Johan Reinholdz
The Lemonheads,1986,Evan Dando
Böhse Onkelz,1980,Stephan Weidner
Avenged Sevenfold,1999,Synyster Gates
Ikimono-gakari,1999,Kiyoe Yoshioka
Skunk Anansie,1994,Robbie France
Avenged Sevenfold,1999,M. Shadows
Avenged Sevenfold,1999,Daddy Yankee
Avenged Sevenfold,1999,The Rev
Avenged Sevenfold,1999,Johnny Christ
Avenged Sevenfold,1999,Arin Ilejay
Avenged Sevenfold,1999,Zacky Vengeance
Ikimono-gakari,1999,Yoshiki Mizuno
Ikimono-gakari,1999,Hotaka Yamashita
Love Affair,1966,Lynton Guest
Love Affair,1966,Steve Ellis
Avenged Sevenfold,1999,Brooks Wackerman
Love Affair,1966,Mick Jackson
Love Affair,1966,Morgan Fisher
Riblja Čorba,1978,Rajko Kojić
Chalk Circle,1982,Chris Tait
Moi dix Mois,2002,Mana
fripSide,2002,Nao
Operation Ivy,1987,Jesse Michaels
Love Affair,1966,Maurice Bacon
Love Affair,1966,Rex Brayley
Bauhaus,1978,Kevin Haskins
Neu!,1985,Michael Rother
Il Volo,2010,Gianluca Ginoble
The Strangeloves,1964,Bob Feldman
The Strangeloves,1964,Jerry Goldstein
Bauhaus,1978,David J
Labyrinth,1991,Fabio Lione
Il Volo,2010,Ignazio Boschetto
The Dandy Warhols,1994,Courtney Taylor-Taylor
Maroon 5,1994,Adam Levine
Maroon 5,1994,James Valentine
Silly Wizard,1970,Andy M. Stewart
The Strangeloves,1964,Richard Gottehrer
Maroon 5,1994,Ryan Dusick
Maroon 5,1994,Jesse Carmichael
Steel Panther,1985,Ralph Saenz
Against Me!,1997,Laura Jane Grace
Godspeed You! Black Emperor,1994,Aidan Girt
Godspeed You! Black Emperor,1994,Thierry Amar
Godspeed You! Black Emperor,1994,David Bryant
Godspeed You! Black Emperor,1994,Mike Moya
Godspeed You! Black Emperor,1994,Efrim Menuck
Godspeed You! Black Emperor,1994,Mauro Pezzente
Not Yet,2011,Yuko Oshima
Majestica,2004,Tommy Johansson
Godspeed You! Black Emperor,1994,Karl Lemieux
Counting Crows,1991,Adam Duritz
Godspeed You! Black Emperor,1994,Sophie Trudeau
Delain,2002,Charlotte Wessels
The Fall of Troy,2002,Thomas Erak
Neu!,1971,Michael Rother
Pantera,1981,Dimebag Darrell
Transvision Vamp,1986,Wendy James
Masterplan,2001,Uli Kusch
Bauhaus,1978,Peter Murphy
Bauhaus,1978,Daniel Ash
Il Volo,2010,Piero Barone
The Kinks,1964,Dave Davies
Pixies,1986,Kim Deal
Pixies,1986,Black Francis
Pixies,1986,Joey Santiago
Pixies,1986,David Lovering
Sonic Youth,1981,Jim O'Rourke
Sonic Youth,1981,Bob Bert
Sonic Youth,1981,Steve Shelley
Sonic Youth,1981,Anne DeMarinis
Sonic Youth,1981,Lee Ranaldo
Sonic Youth,1981,Thurston Moore
Sonic Youth,1981,Mark Ibold
Sonic Youth,1981,Kim Gordon
Sonic Youth,1981,Richard Edson
Sonic Youth,1981,Jim Sclavunos
The Beach Boys,1961,Brian Wilson
The Beach Boys,1961,Carl Wilson
The Beach Boys,1961,Dennis Wilson
The Beach Boys,1961,Glen Campbell
Europe,1979,John Levén
The Glove,1983,Robert Smith
The Beach Boys,1961,Ricky Fataar
The Beach Boys,1961,Mike Love
The Beach Boys,1961,Bruce Johnston
