person,spouse
Janeane Garofalo,Robert Cohen
Walter White,Skyler White
Peter DeLuise,Anne Marie Loder
Letitia Christian Tyler,John Tyler
Dallas Roberts,Christine Jones
Nora Stanton Blatch Barney,Morgan Barney
Lois Long,Peter Arno
Christopher Nolan,Emma Thomas
Don Rosa,Ann Payne
Jeremy Renner,Sonni Pacheco
Donald Trump,Melania Trump
Donald Trump,Marla Maples
John von Neumann,Klara Dan von Neumann
Arthur P. Jacobs,Natalie Trundy
Luise Rainer,Clifford Odets
Maggie Hassan,Thomas Hassan
Nora Stanton Blatch Barney,Lee de Forest
Woody Allen,Harlene Susan Rosen
Kaley Cuoco,Karl Cook
Lizard,Martha Connors
Gloria Dickson,Perc Westmore
Leonard B. Jordan,Grace Jordan
Amy Klobuchar,John Bessler
Gloria Dickson,Ralph Murphy
Mara Corday,Richard Long
Steve Martin,Anne Stringfield
Al Gore,Tipper Gore
Peter DeLuise,Gina Nemo
John Kerry,Teresa Heinz Kerry
Kaley Cuoco,Ryan Sweeting
Ernest Hemingway,Martha Gellhorn
Woody Allen,Louise Lasser
Woody Allen,Soon-Yi Previn
Ed O'Neill,Catherine Rusoff
John Kerry,Julia Thorne
Lisa Murkowski,Verne Martell
Pamela Des Barres,Michael Des Barres
Soong May-ling,Chiang Kai-shek
Henry Fonda,Susan Blanchard
John Tsang,Tsang Wong Lynn-wah
Selena,Chris Pérez
Frances Yao,Andrew Yao
Olympia Snowe,John R. McKernan
Henry Fonda,Margaret Sullavan
Ernest Hemingway,Mary Welsh Hemingway
Henry Fonda,Afdera Franchetti
Ernest Hemingway,Hadley Richardson
Chester Bennington,Talinda Ann Bentley
Orson Welles,Paola Mori
Ernest Hemingway,Pauline Pfeiffer
Henry Fonda,Frances Ford Seymour
Chester Bennington,Samantha Marie Olit
Robert F. Kennedy,Ethel Skakel Kennedy
Mary Calvi,Mike Spano
Josh Duhamel,Fergie
Edgar Allan Poe,Virginia Eliza Clemm Poe
Orson Welles,Virginia Nicolson
John Barrowman,Scott Gill
Chucky,Tiffany Valentine
John McEnroe,Patty Smyth
Fritz Lang,Thea von Harbou
Orson Welles,Rita Hayworth
Steve Jobs,Laurene Powell Jobs
Olympia Snowe,Peter T. Snowe
Fritz Lang,Elisabeth Rosenthal
Jimmy Carter,Rosalynn Carter
Thomas Jane,Patricia Arquette
James Euringer,Chantal Claret
John McEnroe,Tatum O'Neal
Kobe Bryant,Vanessa Laine Bryant
Nadine Strossen,Eli Noam
Joseph E. Stiglitz,Anya Schiffrin
Thomas Jane,Aysha Hauer
George Clooney,Amal Clooney
John Belushi,Judith Belushi Pisano
