person,spouse
Lila Mayoral Wirshing,Rafael Hernández Colón
Linda Vester,Glenn H. Greenberg
Lisa Oz,Mehmet Öz
Lisa Hoffman,Dustin Hoffman
Lillian Kemble-Cooper,Guy Bates Post
Zoë Baird,Paul Gewirtz
Lionel Pincus,Suzanne Storrs
Letitia Chambers,Peter Plympton Smith
Vivian Reed,Alfred Edward Green
Lisa Katselas Paré,Michael Paré
Lisa Ann Sandell,Liel Leibovitz
Leonard Muhammad,Donna Farrakhan Muhammad
Lisa Pelikan,Robert Harper
Leslie Newman,David Newman
Lillian Rosanoff Lieber,Hugh Gray Lieber
Lisa Evers,Curtis Sliwa
Q6600933,Leah Jaffha'n
Lisa Dergan Podsednik,Scott Podsednik
Linda Womack,Cecil Womack
Lia Maivia,Peter Maivia
Leora Spellman,Charles Middleton
Lisa Chess,Michael Pressman
Leonard Bacon,Martha Stringham Bacon
Lewis Linn McArthur,Harriet Kezziah Nesmith McArthur
Linda S. Stein,Seymour Stein
Leonard Bahr,Florence Riefle Bahr
Lilly Tartikoff,Bruce Karatz
Lillian Bostwick Phipps,Ogden Phipps
Lin Bolen,Paul Wendkos
Lisa Brescia,Craig Carnelia
Lilian Swann Saarinen,Eero Saarinen
Lisa Pelikan,Bruce Davison
Lilly Tartikoff,Brandon Tartikoff
Leonard Herzenberg,Leonore Herzenberg
Sarah Stein,Michael Stein
Lili Gentle,Richard D. Zanuck
Lindsay C. Howard,Judith Barrett
Leslie Cockburn,Andrew Cockburn
Nina Olivette,Harry Stockwell
Lisa Feldman Barrett,Daniel J. Barrett
Lillian Porter,Russell Hayden
Linda Rottenberg,Bruce Feiler
Lillian Gordy Carter,"James Earl Carter, Sr."
Leon Carnovsky,Ruth French Carnovsky
Lincoln Plumer,Rose Plumer
Lewis Ankeny McArthur,Nellie Bowden Pipes McArthur
Lisa Gastineau,Mark Gastineau
Lisa Brown,Daniel Handler
Lily Cade,Sten Cade
William Wesley Peters,Svetlana Alliluyeva
Lisa Trusel,David Wallace
Leon Ashley,Margie Singleton
Linda Stirling,Sloan Nibley
Lila Leeds,Jack Little
Lisa Kirk,Robert Wells
Katie Farris,Ilya Kaminsky
Kim Barnes,Robert Wrigley
Kathy Fields,David Lander
Kathryn Carver,Adolphe Menjou
Katherine Zappone,Ann Louise Gilligan
Kathryn Ish,Richard Stahl
Kerry Butler,Joey Mazzarino
Katrina Trask,George Foster Peabody
Kathy Thibodeaux,Keith Thibodeaux
Kim Couture,Randy Couture
Ceci Stantz,Shawn Hatosy
Kira Davis,Andrew Kosove
Kenneth Durant,Helen van Dongen
Keith Preston,Etta Shield
Kenneth Pitchford,Robin Morgan
Kelly Cutrone,Ronnie Cutrone
Keith Barbour,Deidre Hall
Kerry Rhodes,Nicky Whelan
Kelly Cutrone,Jeff Kober
Kelly Killoren Bensimon,Gilles Bensimon
Katherine Emmons Force,"Lorillard Suydam Spencer, Sr."
Kenneth E. Tyler,Kay Tyler
Katherine Nelson,Richard R. Nelson
Kathleen Norris,Charles Gilman Norris
Katherine Reback,Sonny King
Kenneth Sitzberger,Jeanne Collier
Ken Otremba,Mary Ellen Otremba
Terrence Pegula,Kim Pegula
Kathleen Man Gyllenhaal,Stephen Gyllenhaal
Kate Miller,John DiMaggio
Kim Warnick,Ken Stringfellow
Kerry Brown,Stacey Sher
Katherine Locke,Norman Corwin
Kay Laurell,Winfield Sheehan
Katherine Boo,Sunil Khilnani
Kevin Hench,Heather Juergensen
Kevin Warsh,Jane Lauder
Kathryn Grody,Mandy Patinkin
Kath Malmberg,Gordon McKellen
Katrina vanden Heuvel,Stephen F. Cohen
Kathleen S. M. Unger,Stephen A. Unger
Kevin P. Engler,Chris Engler
Kimberly Hunt,"Billy Ray Smith, Jr."
Kerry Vera,Brandon Vera
Kevin S. Huffman,Michelle Rhee
Katherine Webb,AJ McCarron
Kathryn Mullen,Michael K. Frith
Kathryn Hays,Glenn Ford
Kenneth MacKenna,Mary Philips
Kayce Freed,Peter Jennings
Kelly Sue DeConnick,Matt Fraction
Keith Skelton,Betty Roberts
Kenneth Spence,Janet Taylor Spence
Kevin Barker,Hazel Mae
Kenneth Hawks,Mary Astor
Katherine Perry,Owen Moore
Kenneth MacKenna,Kay Francis
Kathryn Ptacek,Charles L. Grant
Kathryn Abbe,James Abbe Jr.
Kendra Spears,Rahim Aga Khan
Katie O'Malley,Martin O'Malley
Kevin Killian,Dodie Bellamy
Katie Aselton,Mark Duplass
Katharine Martha Houghton Hepburn,Thomas Norval Hepburn
Kathleen Matthews,Chris Matthews
Kendel Ehrlich,Bob Ehrlich
Katharine Payne,Roger Payne
Ken Dychtwald,Maddy Dychtwald
Kathryn Graf,David Graf
Kathleen Peterson,Michael Peterson
Kenny Williams,Zoraida Sambolin
Kellyanne Conway,George T. Conway III
Khadijah Farrakhan,Louis Farrakhan
Kathleen Vinehout,Doug Kane
Kirk Caldwell,Donna Tanoue
King Coleman,Maggie Mae Hathaway
Kate Richards O'Hare,Frank P. O'Hare
Kate Ryan,Joseph M. Petrick
Kevin Massey,Kara Lindsay
Ken Goldberg,Tiffany Shlain
Kaytha Coker,Illich Guardiola
Kathleen Widdoes,Richard Jordan
Kathryn Wasserman Davis,Shelby Cullom Davis
Kathryn Kidder,Louis K. Anspacher
Kenneth Peach,Pauline Curley
Kathryn Layng,David Henry Hwang
Kevin Bernhardt,Apollonia Kotero
Kendra Jade Rossi,Lukas Rossi
Kevin Danaher,Medea Benjamin
Katharine Dexter McCormick,Stanley Robert McCormick
Katrina Trask,Spencer Trask
Kelley Eskridge,Nicola Griffith
Ken Hart,Jane Hart
Kim Henry,Brad Henry
Kenneth Durant,Genevieve Taggard
Kathryn Albertson,Joe Albertson
Kevin Wall,Susan Smalley
Katie Ford,André Balazs
Kathryn Sansone,Jim Sansone
Perry T. Rathbone,Euretta de Cosson Rathbone
Paulina Kellogg Wright Davis,Thomas Davis
Paula Blackton,J. Stuart Blackton
Paula Stewart,Jack Carter
Peggy Allenby,Robert Armstrong
Pauline Pfeiffer,Ernest Hemingway
Peter Mensch,Louise Mensch
Philip Rose,Doris Belack
Peggy Trentini,Dana Strum
Penny Slinger,Christopher Hills
Philip Charles MacKenzie,Linda Carlson
Pauline LaFon Gore,Albert Arnold Gore
"Philip Lee, Sr.",Elizabeth Lawson
Phil Elverum,Geneviève Castrée
Pauline Morrow Austin,James Murdoch Austin
Paul Linke,Christine Healy
Peter Baker,Susan Glasser
Peter Edelman,Marian Wright Edelman
Paul Schmidt,Stockard Channing
Philander Claxton,Mary Hannah Johnson
Penelope Windust,Charles Haid
Philip Terzian,Grace Paine Terzian
Phil Elverum,Michelle Williams
Peter Knecht,Ava Cadell
Philip James DeVries,Carla Penz
Phil Freelon,Nnenna Freelon
Philip Charles MacKenzie,Alison LaPlaca
Phil Hardberger,Linda Morgan
Pete Buttigieg,Chasten Buttigieg
Philip Bourneuf,Frances Reid
Peter Duchin,Brooke Hayward
Philip Perry,Elizabeth Cheney
Philip Sargant Florence,Lella Secor Florence
Peter Maass,Alissa Quart
Peter Locke,Liz Torres
Paul Truong,Susan Polgar
Petra Cortright,Marc Horowitz
Paul Sprenger,Jane Lang
Phil Abrams,Michelle Bitting
Percy Haswell,George Fawcett
Paul McHale,Martha Rainville
Paul Sparks,Annie Parisse
Perle Fine,Maurice Berezov
Peter Palmer,Mary Lou Farrell
Peter Nead,Elizabeth Yount
Peter A. Jay,Mary Rutherford Clarkson
Paul Tietjens,Eunice Tietjens
Paul Sills,Barbara Harris
Phil Bronstein,Sharon Stone
Philipp Fehl,Raina Fehl
Paul Marion,Isabel Jewell
Peter Beverley,Elizabeth Peyton Beverley
Pauline Maier,Charles S. Maier
Peter Chardon Brooks,Ann Gorham
Pawnee Bill,May Lillie
Paul Pelosi,Nancy Pelosi
Peter Trachtenberg,Mary Gaitskill
Paula Sandoval,Sonny Sandoval
Paul Stuart Appelbaum,Diana Muir
Phelan Beale,Edith Ewing Bouvier Beale
Phil Ruffin,Oleksandra Nikolayenko
Peter Cookson,Beatrice Straight
Peter Griffith,Tippi Hedren
Peggy Bacon,Alexander Brook
Pauline Payne Whitney,"Almeric Paget, 1st Baron Queenborough"
Peggy Moran,Henry Koster
Philip Shabecoff,Alice Shabecoff
Peter Baldwin,Lisbet Rausing
Paul Spike,Alexandra Shulman
Payne Whitney,Helen Hay Whitney
Peter Bergman,Maryedith Burrell
Peter Betts,Yvonne Littlefield
Peggy Shippen,Benedict Arnold
Peter Tarlow,Sara Alpern
Peggy Lloyd,Norman Lloyd
Paul Sally,Judith D. Sally
Paul Wonner,Theophilus Brown
Phil Boutelje,Babe London
Philip Rieff,Susan Sontag
Peggy Fears,Alfred Cleveland Blumenthal
Pesach Burstein,Lillian Lux
Paul R. Verkuil,Judith Rodin
Paul Scheer,June Diane Raphael
Peter Thum,Cara Buono
Peter Alexander,Alison Starling
Paul McPharlin,Marjorie Batchelder McPharlin
Peter Folger,Mary Morrill
Peter Shmock,Patrice Donnelly
Marian Spore Bush,Irving Tar Bush
Mark Antony De Wolfe Howe,Fanny Huntington Quincy
Marianne McAndrew,Stewart Moss
Marianne Wiggins,Salman Rushdie
Marianne Curan,Bob Goen
Martha Rogers,Dick Cavett
Marian Ilitch,Mike Ilitch
Martha Wilkinson,Wallace G. Wilkinson
Maria Louisa Bustill,William Drew Robeson I
Marian Koshland,"Daniel E. Koshland, Jr."
Marin Mazzie,Jason Danieley
Mark Arnott,Jane Carr
Martin Greenberg,Rosalind M. Greenberg
Marilyn Yalom,Irvin Yalom
Maria White Lowell,James Russell Lowell
Mark Wilkerson,Melissa Joan Hart
Marilyn McCoo,"Billy Davis, Jr."
Martha Sharp,Waitstill Sharp
Mark Brunswick,Natascha Artin Brunswick
Martin Greenberg,Paula Fox
Maria Willard Jackson,Jacob B. Jackson
Marian Shields Robinson,Fraser C. Robinson III
Mark Turner,Megan Whalen Turner
Marion Sandler,Herbert Sandler
Martha Raddatz,Tom Gjelten
Marietta DePrima,George Newbern
Marilyn Vance,Kenny Vance
Mark Brunswick,Ruth Mack Brunswick
Marie Hilson Katzenbach,Edward L. Katzenbach
Marian Otis Chandler,Harry Chandler
Maria Dizzia,Will Eno
Martha Wilson,Gibson E. Armstrong
Marion Jorgensen,Milton H. Bren
Markos Kounalakis,Eleni Tsakopoulos Kounalakis
Mark Raymond Harrington,Anna Alexander Johns
Martha Rofheart,Robert Emhardt
Marjorie Williams,Timothy Noah
Martin Filler,Rosemarie Haag Bletter
Mark Rosenberg,Paula Weinstein
Martha Raddatz,Julius Genachowski
Marietta Peabody Tree,Desmond Fitzgerald
Mark Wagoner,Merideth
Marjorie Lane,Brian Donlevy
Marsha Barbour,Haley Barbour
Marjorie Mikasen,Mark Griep
Martha Cheavens,Hugh Schuck
Marietta Peabody Tree,Ronald Tree
Marion Byron,Lou Breslow
Mark Falzone,Robin N. Hamilton
Martha Mitchell,John N. Mitchell
Marjorie Cameron,John Whiteside Parsons
Marlene Sanders,Jerome Toobin
Marie Norton Harriman,Cornelius Vanderbilt Whitney
Marion Hutton,Jack Douglas
Marilyn Erskine,Stanley Kramer
Marian McCargo,"Alphonzo E. Bell, Jr."
Mariah O'Brien,Giovanni Ribisi
Martha Bulloch Roosevelt,"Theodore Roosevelt, Sr."
Marta Martin,Shawn Amos
Maris Wrixon,Rudi Fehr
Mark Lambert,Victoria Mallory
Martin D. Ginsburg,Ruth Bader Ginsburg
Mark Canton,Wendy Finerman
Marian Shockley,Bud Collyer
Mark Cockerell,Elena Kvitchenko
Marie Norton Harriman,William Averell Harriman
Marian MacDowell,Edward MacDowell
Mari Maseng,George Will
Mark Lutz,Patrice Donnelly
Marjorie Oelrichs,Eddy Duchin
Martha Rainville,Paul McHale
Marta Casals Istomin,Pau Casals
Maria Jacquemetton,Andre Jacquemetton
Marilyn Lovell Matz,Peter Matz
Maria Semple,George Meyer
Marion Wachtel,Elmer Wachtel
Martha Ellen Young Truman,John Anderson Truman
Mark F. Miller,Jo Miller
Mark Steines,Leanza Cornett
Marianne Gordon,Kenny Rogers
Marjorie Batchelder McPharlin,Paul McPharlin
Marlo Poras,Paul Chan
Marilyn Berger,Don Hewitt
Marjorie Daw,A. Edward Sutherland
Mark Scott,Briony Scott
Mark Seidenberg,Maryellen MacDonald
Marjorie Bransfield,Jim Belushi
Marjorie Daw,Myron Selznick
Marianne Gordon,Michael Trikilis
Martha Rivers Ingram,E. Bronson Ingram II
Martha Lucas Pate,Maurice Pate
Mark Wallace,Nicolle Wallace
Maria Bissell Hotchkiss,Benjamin B. Hotchkiss
Mark Adams,Beth Van Hoesen
Marie Bankhead Owen,Thomas McAdory Owen
Martha Schrader,Kurt Schrader
Mark Salzman,Jessica Yu
Martha Constantine-Paton,H. Robert Horvitz
Marie Helvin,David Bailey
Martin Gruebele,Nancy Makri
Lorenza Ramírez de Arellano,Luis A. Ferré
Louis R. Gottschalk,Laura Riding
Liz Whitney Tippett,John Hay Whitney
Lois Lenski,Arthur Covey
Louis Mann,Clara Lipman
Lou Breslow,Marion Byron
Louise DuArt,SQuire Rushnell
Lois Darling,Louis Darling
Lori Robinson,David A. Robinson
Louise Lindner,Lee Eastman
Lorinda de Roulet,Vincent de Roulet
Lorraine Huling,Richard Field Maynard
Louise Whitfield Carnegie,Andrew Carnegie
Louise Groody,William Harrigan
Lori Easley,Butch Otter
Liz Rosenberg,John Gardner
Lori Stokes,Brian Thompson
LuAnn de Lesseps,Alexandre de Lesseps
Lucile Gleason,James Gleason
Liz Feldman,Rachael Cantu
Lois Neilson,Stan Laurel
Liz W. Garcia,Joshua Harto
Logic,Jessica Andrea
Lori Klein,Robert K. Corbin
Loni Ackerman,Steve Canyon Kennedy
Louisa Horton Hill,George Roy Hill
Liz Cho,Josh Elliott
Louis B. Wilson,Maud H. Mellish-Wilson
Louis Till,Mamie Till
Louis S. Peterson,Peggy Feury
Lorenda Starfelt,Brad Mays
Louisa Knapp Curtis,Cyrus Hermann Kotzschmar Curtis
Lloyd Levitin,Sonia Levitin
Loryn Locklin,Victor Drai
Louise A. Tilly,Charles Tilly
Lizette Alvarez,"Don Van Natta, Jr."
Louis Darling,Lois Darling
Loni Hancock,Tom Bates
Louis Berger,Annette Elkanova
Louis Schanker,Libby Holman
Louis Saint-Gaudens,Annetta Johnson Saint-Gaudens
Lucile Blanch,Arnold Blanch
Louise Troy,Werner Klemperer
Louise Weinberg,Steven Weinberg
Liza Featherstone,Doug Henwood
Louise Troy,Douglas Seale
Lucia St. Clair Robson,Brian Daley
Lizzie Black Kander,Simon Kander
Robert Sherrod,Margaret Carson
Lou Busch,Janet Blair
LuEsther Mertz,Harold Mertz
Louise Cromwell Brooks,Douglas MacArthur
Lorraine Adams,Richard Price
Louise Cromwell Brooks,Lionel Atwill
Lou Busch,Margaret Whiting
"Lorillard Suydam Spencer, Sr.",Katherine Emmons Force
Louise Erickson,Ben Gazzara
Logan Owen,Chloe Dygert
Louis Leon Ribak,Beatrice Mandelman
Logan Ramsey,Anne Ramsey
Nathaniel Eaton,Elizabeth Eaton
Nancy Freedman,Benedict Freedman
Nina Petronzio,Steven Ho
Nathan Gregory Silvermaster,Helen Silvermaster
Nancy Hicks Maynard,Robert C. Maynard
Natasha Esch,Matt Coffin
Nancy Peters,Philip Lamantia
Nathan West,Chyler Leigh
Nancy Walton Laurie,Bill Laurie
Neltje Blanchan,Frank Nelson Doubleday
Neith Boyce,Hutchins Hapgood
Ahmad Rashad,Phylicia Rashād
Nancy Guild,Charles Russell
Nathaniel C. Comfort,Carol Greider
Nancy Schön,Donald Schön
Nick Dimitri,Christy Hartburg
Nanette Gartrell,Dee Mosbacher
Nick Ullett,Jenny O'Hara
Natali Morris,Clayton Morris
Nancy Kissinger,Henry Kissinger
Nathaniel Fillmore,Phoebe Millard
Natalie Tennant,Erik Wells
Nancy Guild,Ernest H. Martin
Neil David Levin,Christy Ferer
Nancy Tappan,Mel Tappan
Nelson Allen,Carol Rice Allen
Nicole Avant,Ted Sarandos
Nancy Snyder,Stephen Schnetzer
Nina Wayne,John Drew Barrymore
Nicholas Hofgren,Sophie Conran
Nancy Glass,Charles Lachman
Nathan Francis Mossell,Gertrude Bustill Mossell
Nina Tassler,Jerry Levine
Nellie Verrill Mighels Davis,Henry Rust Mighels
Nikita,Michael
Nelle Wilson Reagan,Jack Reagan
Malka Elisheva Schaps,David Schaps
Nina Totenberg,Floyd K. Haskell
Neera Tanden,Benjamin Edwards
Nancy Steinbeck,John Steinbeck IV
Nancy Newhall,Beaumont Newhall
Nancy Massie Meadows,Clarence W. Meadows
Nancy Stephens,Rick Rosenthal
Naomi Childers,Luther Reed
Nancy Meckler,David Aukin
Nancy Knowlton,Jeremy Jackson
Nicolle Wallace,Mark Wallace
Nancy Frangione,Christopher Rich
Nancy Jacobson,Mark Penn
Nina Koshetz,Alexander de Schubert
Nightstar,Damian Wayne
Nightstar,Ibn al Xu'ffasch
Nicholas Nayfack,Lynne Carver
Nancy Jo Sales,Frank Morales
Nellie Fassett,John Sherwin Crosby
Nicholas Porter Earp,Virginia Earp
Nicky Arnstein,Fanny Brice
Niles Welch,Dell Boone
Nene Humphrey,Benny Andrews
Neil Lewis,Mary Cheh
María Elena Holly,Buddy Holly
Mary Smith Gleason,E.D. Gleason
Mary Berenson,Bernard Berenson
Mary Cutler Fairchild,Edwin M. Fairchild
Mary Berenson,Benjamin Francis Conn Costelloe
Mary Louise Boehm,Kees Kooper
Mary Ann Vincent,James Vincent
Mary Vaux Walcott,Charles Doolittle Walcott
Martynka Wawrzyniak,Richard Kern
Mary Ann Angell,Brigham Young
Marvin Minoff,Bonnie Franklin
Martin Van Buren Bates,Anna Haining Bates
Mary Fife Laning,Edward Laning
Mary Horgan Mowbray-Clarke,John Frederick Mowbray-Clarke
Mary Jane Irving,Robert Carson
Mary C. Seward,Theodore Frelinghuysen Seward
Mary Hay,Richard Barthelmess
Mary Turzillo,Geoffrey A. Landis
Marya Mannes,Jo Mielziner
Mary Hatcher,Alvin Stoller
Marylou Whitney,Cornelius Vanderbilt Whitney
Mary Boies,David Boies
Mary Faber,Gabe Witcher
Marty Makary,Kirsten Powers
Mary Ellin Barrett,Marvin Barrett
Mary Kiffmeyer,Ralph Kiffmeyer
Marylou Whitney,John Hendrickson
Mary Hayden Pike,Frederick A. Pike
Mary-Kay Wilmers,Stephen Frears
Mary Crawford Fraser,Hugh Fraser
Mary Virginia Terhune,Edward Payson Terhune
Mary Ellis,Basil Sydney
Maryellen MacDonald,Mark Seidenberg
Mary Matalin,James Carville
Martin Manley,AnnaLee Saxenian
Mary Jo Slater,Michael Hawkins
Mary Cunningham Agee,William Agee
Mary Willing Clymer,Henry Clymer
Mary von Waldersee,Alfred von Waldersee
Mary von Waldersee,Prince Frederick of Schleswig-Holstein-Sonderburg-Augustenburg
Mary Plummer,Georges Clemenceau
Marvella Bayh,Birch Bayh
Mary Tappan Wright,John Henry Wright
Mary Tyler Peabody Mann,Horace Mann
Mary Raymond Shipman Andrews,William Shankland Andrews
Marvin Olasky,Susan Olasky
Mary Eberstadt,Nicholas Eberstadt
Mary Duke Biddle,"Anthony Joseph Drexel Biddle, Jr."
Mary Jo Codey,Richard Codey
Mary Warburg,Edward Warburg
Mary Kaye Huntsman,"Jon Huntsman, Jr."
Mary Foote Henderson,John B. Henderson
Mary Fuller,Robert P. McChesney
Mary Pilcher-Cook,Don Cook
Maryedith Burrell,Peter Bergman
Mary Ritter Beard,Charles A. Beard
Mary Elsie Moore,"Marino Torlonia, 4th Prince of Civitella-Cesi"
Mary (Mai) Huttleston Rogers Coe,William Robertson Coe
Mary Jordan,Eerik-Niiles Kross
Mary Livingstone,Jack Benny
Mary Jo Keenen,Mitchell Hurwitz
Mary Winkler,Matthew Winkler
Mary Alsop King Waddington,William Henry Waddington
Mary Lou Clements-Mann,Jonathan Mann
Mary Elizabeth Butt,Howard Edward Butt Sr.
Mary Louise Peebles,Anthony Augustus Peebles
Mary Cheney Greeley,Horace Greeley
Mary Brown Wanamaker,Barclay Harding Warburton I
Mary Elitch Long,John Elitch
Mary Small,Vic Mizzy
Mary Lucier,Alvin Lucier
Mary Griggs Burke,Jackson Burke
Mary Willing Byrd,William Byrd III
Mary Q. Steele,William O. Steele
Marty Ingels,Shirley Jones
Mary Lea Johnson Richards,Martin Richards
Mary N. Cook,Richard E. Cook
Mary Williamson Averell,E. H. Harriman
Mary Ellen Otremba,Ken Otremba
Mary Strong Clemens,Joseph Clemens
Mary Rockefeller,Nelson Rockefeller
Mary Harriman Rumsey,Charles Cary Rumsey
Martina May Martin,Edward Pawley
Mary Pinchot Meyer,Cord Meyer
Mary Call Darby Collins,LeRoy Collins
Mary Jefferson Eppes,John Wayles Eppes
Mary Eunice Harlan,Robert Todd Lincoln
Maryann Plunkett,Jay O. Sanders
Mary Norris Dickinson,John Dickinson
Mary Silliman,Gold Selleck Silliman
Mary Hallock Foote,Arthur De Wint Foote
Mary Sheppard Greene,Ernest L. Blumenschein
Mary Sibbet Copley,"William Thaw, Sr."
Martin Piller,Gerina Piller
Marty Kaplan,Susan Estrich
Mary Couts Burnett,Samuel Burk Burnett
Marvin Pierce,Pauline Robinson
Martin Kimmel,Gloria DeHaven
Mary Hayward Weir,Ernest T. Weir
Mary Tileston Hemenway,Edward Augustus Holyoke Hemenway
Rusty Magee,Alison Fraser
Rodelle Weintraub,Stanley Weintraub
Sam George,Nia Peeples
Sally Brophy,George Goodman
Roscoe Reynolds,Linda Marshall
Rosa Sonnenschein,Solomon H. Sonneschein
Sam Michel,Noy Holland
Rose Kaufman,Philip Kaufman
Rocky Marval,Isabelle Brasseur
Ruth Noemí Colón,Gerson Borrero
Ruth Brewer Eisenberg,Jacob Eisenberg
Rudolf Baranik,May Stevens
Rolla M. Tryon Jr.,Alice Faber Tryon
Ruth Madoff,Bernard Madoff
Ruby Terrill Lomax,John Lomax
Roy Cicala,Lori Burton
Ronna Romney,G. Scott Romney
Rudy Autio,Lela Autio
Russ Witherby,Michael Kuluva
Roe Messner,Tammy Faye Messner
Rosemarie Bowe,Robert Stack
Ruth Brooks Flippen,Jay C. Flippen
Roxanna Bina,Emmanuel Itier
Ruben Toledo,Isabel Toledo
Sam Coslow,Esther Muir
Ronan Farrow,Jon Lovett
Ryan Paul James,Melissa Disney
Roger Newman,Fran Myers
Ruth Narramore,Clyde M. Narramore
Ronne Troup,James Coleman
Samuel Ward,Emily Astor
Samuel Ward,Marie Angeline Grymes
Rosalyn Drexler,Sherman Drexler
Roy Cooper,Kristin Cooper
Ryan Butler,Chris Sgro
Samuel Allyne Otis,Mary Smith Otis
Ruth Edmonds Hill,Brother Blue
Ruth E. McKee,Darr H. Alkire
Rose Eytinge,George H. Butler
Ronald Clark O'Bryan,Daynene O'Bryan 
Ronald Isley,Angela Winbush
Roderick M. Hills,Carla Anderson Hills
Sally Sussman Morina,Anthony Morina
Russ Rymer,Susan Faludi
Ruth Gruber,Henry J. Rosner
Ruth Reeves,Leland Olds
Rod J. Rosenstein,Lisa Barsoomian
Roxy Saint,Josh Evans
Ryan Block,Veronica Belmont
Rory Feek,Joey Feek
"Samuel Curtis Johnson, Jr.",Imogene Powers Johnson
Roger McNamee,Ann McNamee
Ron Balicki,Diana Lee Inosanto
Rolf Cahn,Barbara Dane
Ryan Haddon,Christian Slater
Sally Quinn,Ben Bradlee
Sam Solon,Yvonne Prettner Solon
Rose Gregorio,Ulu Grosbard
Roger Welles,Harriet Ogden Welles
Sally Haslanger,Stephen Yablo
Sally Shelton-Colby,William Colby
Rose Plumer,Lincoln Plumer
Ryan Pickett,Theresa Meeker
Ron Lieber,Jodi Kantor
Ruth Bachhuber Doyle,James Edward Doyle
Ruby Wright,Barney Rapp
Ryan Haddon,Marc Blucas
Ruth Fainlight,Alan Sillitoe
Rod Lauren,Nida Blanca
Ronnie Eldridge,Jimmy Breslin
Ruth Winifred Howard,Albert Sidney Beckham
Sally Grossman,Albert Grossman
Rosetta Hightower,Ian Green
Rose Jackson,Michael G. Moye
Roxana Judkins Stinchfield Ferris,Gordon Floyd Ferris
Roger Young,Connie Paraskevin
Rudy Wurlitzer,Lynn Davis
Rudolf Sonneborn,Dorothy Schiff
Rog Phillips,Mari Wolf
Rube Marquard,Blossom Seeley
Samantha Ponder,Christian Ponder
Russell Arch,Lisa Arch
Roy W. Hill,Anne T. Hill
"Samuel Ealy Johnson, Sr.",Q73222805
Ron Troupe,Lucy Lane
Roi Partridge,Imogen Cunningham
Rodney Kendrick,Rhonda Ross Kendrick
Rosa González,Roque Sáenz Peña
Samuel Diescher,Caroline Endres Diescher
Roxanne Dunbar-Ortiz,Simon J. Ortiz
Ryan Piers Williams,America Ferrera
Ron Kass,Joan Collins
Sally Katzen,Timothy B. Dyk
Sam Coomes,Janet Weiss
"Ross Perot, Jr.",Sarah Perot
Sally James Farnham,Paulding Farnham
Ruthanna Hopper,Steven Brill
Rosemary Ames,Bertie Alexander Meyer
Samuel Charles Blackwell,Antoinette Brown Blackwell
Ron Holgate,Dorothy Collins
Stanley Prager,Georgann Johnson
Steve Leialoha,Trina Robbins
Steve Stark,Michelle Nicastro
Sonya Rapoport,Henry Rapoport
Susan Estrich,Marty Kaplan
Stephanie Opal Weinstein,Phil Anselmo
Susan Shapiro,Charlie Rubin
Stewart Moss,Marianne McAndrew
Stephen C. Headley,Anne Everett
Steven V. Roberts,Cokie Roberts
Steve Ross,Amanda Burden
Susan Morrow,Gary Morton
Stan Campbell,Donna Campbell
Stephen M. Ross,Kara Ross
Susan Howe,David von Schlegell
Stephen Longstreet,Ethel Longstreet
Spencer Kayden,Mark Harelik
Steve Berra,Juliette Lewis
Susan Fleming,Harpo Marx
Stanley Weintraub,Rodelle Weintraub
Susan Hart,James H. Nicholson
Stephanie Edwards,Murray MacLeod
Sono Osato,Victor Elmaleh
Stanley Edgar Hyman,Shirley Jackson
Susan Eisenhower,Roald Sagdeev
Steve Poleskie,Jeanne Mackin
Susan Howe,Harvey Quaytman
Steven Kampmann,Judith Kahan
Stuart Firestein,Diana Reiss
Stanley Watson,Huda Akil
Stephanie J. Block,Sebastian Arcelus
Susan J. Dlott,Austin Eldon Knowlton
Susan J. Dlott,Stanley M. Chesley
Stan Hough,Jean Peters
Steve Covino,Layla Kayleigh
Steve Wilkos,Rachelle Consiglio
Stanley Aronowitz,Ellen Willis
Sophie Flack,Josh Charles
Steve Berthiaume,Cindy Brunson
Steve Winter,Mary Kirchoff
Steve Sohmer,Deidre Hall
Sue Weinlein Cook,Monte Cook
Stephan Thernstrom,Abigail Thernstrom
St. George Tucker,Frances Bland
Steve Bellamy,Beth Herr
Steven J. McAuliffe,Christa McAuliffe
Susan Crosland,Patrick Skene Catling
Stephen Birnbaum,Maddalena Corvaglia
Sophie Lyons,Ned Lyons
Sorrel Hays,Marilyn Ries
Stephen Guernsey Cook Ensko,Dorothea J. Winterloff
Susan Bayh,Evan Bayh
Susan MacLaury,Albie Hecht
Stanley M. Chesley,Susan J. Dlott
"South Carolina ""Carrie"" Bronson Hatfield",Henry D. Hatfield
Superman (Earth-One),Supergirl
Stephen Porges,C. Sue Carter
Stephen Schnetzer,Nancy Snyder
Stuyvesant Fish,Marion Graves Anthon Fish
Stanhope Wood Nixon,Doris Ryer Nixon
Stuart Robson,May Waldron
Susan Polis Schutz,Stephen Schutz
Sonny Werblin,Leah Ray
Steven Robman,Kathy Baker
Spencer Trask,Katrina Trask
Stephen Stohn,Linda Schuyler
Stella Farentino,James Farentino
Stephen A. Unger,Kathleen S. M. Unger
Steven Reuther,Helen Shaver
Stephen Oliver,Lana Wood
Steve Rushin,Rebecca Lobo
Susan Lynch,John Lynch
Stanley Rubin,Kathleen Hughes
Steve Lavin,Mary Ann Jarou
