person,child
Jason Mackey,Patrick Mackey
William Richardson Belknap,William Burke Belknap
Margaret Talmadge,Norma Talmadge
Wendy Torrance,Danny Torrance
Joe Dawson,Shawn Dawson
Francis Peyre Porcher,Walter Peyre Porcher
William Goforth,William Goforth
Neilia Hunter,Hunter Biden
Elmer Nelson,Robert William Nelson
Horace Carter Hovey,Edmund Otis Hovey
Peter L. Malkin,Scott D. Malkin
Donald Collins,Susan Collins
Maria Elizabeth Winblad,Naida Muriel Freudenberg
Henry K. Lattin,Susannah Lattin
"Orrin Henry Ingram, Sr.",Frederic B. Ingram
Oscar Arthur Moritz Lindauer,John Jacob Lindauer
Thomas Patrick Norton I,Thomas Patrick Norton II
Angus M. Woodbury,Dixon M. Woodbury
Oscar Arthur Moritz Lindauer,Louis Julius Lindauer
Oscar Arthur Moritz Lindauer,Charles Frederick Lindauer
Angus M. Woodbury,Max A. Woodbury
Maria Elizabeth Winblad,Selma Louise Freudenberg
Ann Rork Light,John Paul Getty Jr.
Anna Augusta Kershaw,Anna Lillian Lindauer
"William Oldrin, Sr.",Elizabeth Oldrin
Anna Augusta Kershaw,LeBaron Hart Lindauer
Anna Augusta Kershaw,Arthur Oscar Lindauer
Henry K. Lattin,George Lattin
"William Oldrin, Sr.",Mary Oldrin
"Orrin Henry Ingram, Sr.",E. Bronson Ingram II
"William Oldrin, Sr.","William Oldrin, Jr."
"William Oldrin, Sr.",Almy Oldrin Wood
Henry K. Lattin,Jarvis Andrew Lattin
Orrin Henry Ingram,Erskine B. Ingram
Anna Augusta Kershaw,Harry Chauncey Lindauer
Thomas Patrick Norton I,Vincent Gerard Norton
Thomas Patrick Norton I,James Joseph Norton II
Anna Augusta Kershaw,Ada Lindauer
Jarvis Andrew Lattin,Eva Ariel Lattin
"William Oldrin, Sr.",Ann Seabury Oldrin
"William Oldrin, Sr.",Sarah Oldrin
Charles Frederick Lindauer,George Brinton McClellan Lindauer
Charles Frederick Lindauer,Eloise Lindauer
Charles H. Rammelkamp,"Charles H. Rammelkamp, Jr."
Arthur Oscar Freudenberg,Helen Eloise Freudenberg
Charles Frederick Lindauer,Oscar Arthur Lindauer
Arthur Oscar Freudenberg,Naida Muriel Freudenberg
Jarvis Andrew Lattin,Theodore Roosevelt Lattin
Jarvis Andrew Lattin,Dewey Ernest Lattin
Charles Frederick Lindauer,Anna Lillian Lindauer
Jarvis Andrew Lattin,Julia Ann Lattin
Charles Frederick Lindauer,LeBaron Hart Lindauer
Charles Frederick Lindauer,Arthur Oscar Lindauer
Charles Frederick Lindauer,Grover Cleveland Lindauer
Arthur Oscar Freudenberg,Selma Louise Freudenberg
Charles Frederick Lindauer,Clara Louise Lindauer
Andrew Havig Jensen,Leif Jensen
Maria Elizabeth Winblad,Helen Eloise Freudenberg
Charles Frederick Lindauer,Harry Chauncey Lindauer
Oscar Arthur Moritz Lindauer,Eloise Lindauer
Anna Augusta Kershaw,Eloise Lindauer
Ann Rork Light,Gordon Getty
Ann Rork Light,Gordon Peter Getty
Charles Frederick Lindauer,Ada Lindauer
Janet Grillo,Matthew Antonio Grillo Russell
Judith Barry,Henry Maxwell
Ray Cash,Reba Hancock
Rose Garland Thornton,Harry Garland
Jonathan Miller,Lucas M. Miller
Khalilah Ali,Muhammad Ali Jr.
Marian Cannon Schlesinger,Andrew Schlesinger
Ray Cash,Roy Cash
Jonathan Adams Allen,Charles Linnaeus Allen
Carrie Cloveree Rivers,Johnny Cash
Judith Barry,Anne Maxwell
Ray Cash,Joanne Cash
Ray Cash,Louise Cash
J. Heron Foster,Rachel Foster Avery
Wilfred Holmes,John Eric Holmes
"John H. MacMillan, Sr.","Cargill MacMillan, Sr."
Carrie Cloveree Rivers,Reba Hancock
Frank Burrill,William G. Burrill
Edwin Lee Nix,Rosie Nix Adams
William Thomas Waggoner,Electra Waggoner
Ray Cash,Tommy Cash
Kerry Sulkowicz,Emma Sulkowicz
Carrie Cloveree Rivers,Roy Cash
Marian Cannon Schlesinger,Christina Schlesinger
Joanne H. Alter,Jonathan Alter
Margaret Hartman Markoe Bache,Hartman Bache
Henry Collins Flagg,Jared Bradley Flagg
Mary Billings French,Mary French Rockefeller
Margaret Hartman Markoe Bache,Franklin Bache
Wallace Calvin Abbott,Eleanor Abbott
Carrie Cloveree Rivers,Joanne Cash
Marian Cannon Schlesinger,Stephen Schlesinger
Judith Barry,"Barry Maxwell, 1st Earl of Farnham"
Carrie Cloveree Rivers,Louise Cash
Helena Sandsmark,Wonder Girl
Elaine Madsen,Michael Madsen
Phineas Bond,Phineas Bond
Robert C. Carter,A. P. Carter
Marian Cannon Schlesinger,Katharine Kinderman
Ezra Carter,Anita Carter
Clayton Knight,Hilary Knight
Robert Melville Baker,Melville Baker
Margaret Morgan Lawrence,Sara Lawrence-Lightfoot
Pete Mount,Rick Mount
Oliver Peebles Jenkins,Olaf P. Jenkins
"John H. MacMillan, Sr.","John H. MacMillan, Jr."
Carrie Cloveree Rivers,Tommy Cash
Jeanne Miles,Joanna Miles
Samuel Cabot Jr.,Samuel Cabot
Samuel R. Johnston,William G. Johnston
Charlotte Fairchild,Frances Fairchild
Patricia Altschul,Whitney Sudler-Smith
Philip J. Levin,Susan L. Tepper
Ferdinand E. Kuhn,Oliver Kuhn
Lawrence Rocks,Burton Rocks
Bonnie Broecker,Jonathan Craven
Thomas Harrison Montgomery,"Thomas Harrison Montgomery, Jr."
Henry Collins Flagg,George Whiting Flagg
Ezra Carter,Helen Carter
Edward Campion Acheson,Dean Acheson
Thomas Harrison Montgomery,James Alan Montgomery
Lyudmyla Poryvay,Natasha Koroleva
Daniel Waggoner,William Thomas Waggoner
Nicholas Gilman Thacher,Thacher Hurd
Ezra Carter,June Carter Cash
Elizabeth Horman,Charles Horman
Edith Thacher Hurd,Thacher Hurd
Sallie Davis Hayden,Carl Hayden
Younes Nazarian,Sam Nazarian
Elaine Madsen,Virginia Madsen
Gilbert Livingston,Sarah Thompson
Robert C. Carter,Ezra Carter
Mollie Arvelle Bays,A. P. Carter
John Ehrenreich,Ben Ehrenreich
Lyudmyla Poryvay,Russya
Margery Durant,William D. Campbell
Younes Nazarian,Sharon Nazarian
William Petit Trowbridge,Charles Christopher Trowbridge
Samuel Cabot Jr.,Edward Clarke Cabot
Samuel Cabot Jr.,James Elliot Cabot
John Ehrenreich,Rosa Brooks
James H. DeVotie,Noble Leslie DeVotie
Leonard Berry,Matthew Berry
Q20066153,Anzhelika Varum
Grace Hall Hemingway,Ernest Hemingway
Younes Nazarian,David Nazarian
Susan Webber,Laser Malena-Webber
Willie Barrow,Keith Barrow
Susan Webber,Aubrey Webber
Sidney George Fisher,Henry Fisher
Grace Hall Hemingway,Leicester Hemingway
Sidney George Fisher,Sydney George Fisher
Samuel Cabot Jr.,Walter Channing Cabot
Oliver Ingraham Lay,Charles Downing Lay
"William Lewis Moody, Sr.","William Lewis Moody, Jr."
Samuel Cabot Jr.,Elizabeth Perkins Cabot
Andrea Kelly,Joann Kelly
Henry Collins Flagg,Rachel Moore Flagg
Stephen James Ferris,Jean Leon Gerome Ferris
Adolphe Lafargue,Alvan Lafargue
"Hector Macpherson, Sr.","Hector Macpherson, Jr."
Mollie Arvelle Bays,Ezra Carter
Katherine Sturges Dodge,Hilary Knight
John Weitz,Paul Weitz
Sidney George Fisher,Walter Fisher
Mary Stewart Doubleday Cutting,Mary Stewart Cutting
John Hooker Packard,Francis Randolph Packard
Frederick P. Rose,Jonathan F.P. Rose
Shirley Burden,Margaret Florence Burden
Shirley Burden,Shirley Carter Burden
Marni Hodgkin,Jonathan Hodgkin
John Weitz,Chris Weitz
John M. Francis,Charles Spencer Francis
Alfred Hitchcock,Ripley Hitchcock
"Thomas Harrison Montgomery, Jr.",Raymond Braislin Montgomery
Herbert Henry Kiehn Sr.,Herbert Henry Kiehn Jr.
Khalilah Ali,Maryum Ali
James Terwilliger,Charlotte Terwilliger Moffett Cartwright
Elliot Christopher Cowdin,John Elliott Cowdin
Emily Frances Bowles,Rachel Elizabeth Baker Gale
Natascha Artin Brunswick,Michael Artin
A. J. Turner,Charles W. Turner
Ray Cash,Jack Cash
Joseph Parrish,Joseph Parrish
Sam E. Rork,Ann Rork Light
Jonathan Adams Allen,Jonathan Adams Allen
Joseph Parrish,Isaac Parrish
William Thomas Waggoner,E. Paul Waggoner
William Thomas Waggoner,Guy Waggoner
Stephen Webber,Laser Malena-Webber
Emily Frances Bowles,Emilie Loring
Ray Cash,Johnny Cash
Janice H. Levin,Susan L. Tepper
Stephen Webber,Aubrey Webber
Judith Barry,"Robert Maxwell, 1st Earl of Farnham"
Phineas Waller,"David Jewett Waller, Sr."
Carrie Cloveree Rivers,Jack Cash
Emily Frances Bowles,Robert Melville Baker
Olin M. Jeffords,Jim Jeffords
Charles K. Swartz,Frank M. Swartz
Frank Altschul,Arthur Altschul
Ken Mallon,Monica Mallon
"James Buchanan, Sr.",James Buchanan
Abram Garfield,James Ballou Garfield
Abram Garfield,Mary Garfield
Abram Garfield,Mehitabel Garfield
Abram Garfield,Thomas Garfield
De Lancey Gill,Minna P. Gill
"James Buchanan, Sr.",John Buchanan
Salmine Sophia Severine Pedersen,Anton Julius Winblad II
Salmine Sophia Severine Pedersen,Otto Perry Winblad
"James Buchanan, Sr.",Elizabeth Buchanan
Jesse Hoover,Herbert Hoover
Patricia C. Frist,William R. Frist
Amelia Neville,Henry K. Craig
Jesse Hoover,Theodore Jesse Hoover
Jesse Root Grant,Ulysses S. Grant
Salmine Sophia Severine Pedersen,Maria Elizabeth Winblad
Ronald Creighton Chaney,Ron Chaney
Al Avila,Alex Avila
"James Buchanan, Sr.",Edward Young Buchanan
Georgia Wood Pangborn,Edgar Pangborn
Richard Falley Cleveland,Grover Cleveland
Samuel Polk,James K. Polk
Abraham Van Buren,Martin Van Buren
Amelia Neville,Neville B. Craig
John T. McNeill,William Hardy McNeill
Maud Worcester Makemson,Donald E. Worcester
Lucile Salter,Julie Packard
"George Tryon Harding, Sr.",Warren G. Harding
Richard Falley Cleveland,Rose Cleveland
Abraham Van Buren,Hannah Van Buren
John Ecker,Danny Ecker
Robert P. Nevin,Ethelbert Nevin
Abraham Van Buren,Abraham Van Buren
Lucile Salter,Susan Packard Orr
"James Buchanan, Sr.",Mary Buchanan
"James Buchanan, Sr.",George Washington Buchanan
"James Buchanan, Sr.",Harriet Buchanan
"James Buchanan, Sr.",Jane Buchanan
"James Buchanan, Sr.",Maria Buchanan
"James Buchanan, Sr.",Sarah Buchanan
"James Buchanan, Sr.",William Speer Buchanan
Jesse Root Grant,Clara Rachel Grant
Jesse Root Grant,Mary Frances Grant
Jesse Root Grant,Orvil Lynch Grant
Jesse Root Grant,Samuel Simpson Grant
Jesse Root Grant,Virginia Paine Grant
Jesse Hoover,Mary (May) Hoover
Lucile Salter,David Woodley Packard
Franklin Storm,Invisible Woman
Franklin Storm,Human Torch
Samuel Polk,William Hawkins Polk
Robert P. Nevin,Arthur Nevin
Richard Falley Cleveland,Ann Neal Cleveland
Richard Falley Cleveland,Margaret Louise Falley Cleveland
Richard Falley Cleveland,Mary Allen Cleveland
Richard Falley Cleveland,Richard Cecil Cleveland
Richard Falley Cleveland,Susan Sophia Cleveland
Richard Falley Cleveland,Lewis Frederick Cleveland
"George Tryon Harding, Sr.",Abigail Victoria Harding
"George Tryon Harding, Sr.",Charity Malvina Harding
"George Tryon Harding, Sr.",Charles Alexander Harding
"George Tryon Harding, Sr.",Eleanor Persilla Harding
"George Tryon Harding, Sr.",George Tyron Harding
"George Tryon Harding, Sr.",Mary Clarissa Harding
"George Tryon Harding, Sr.",Phoebe Caroline Harding
Richard Falley Cleveland,William Neal Cleveland
Samuel Polk,Franklin Ezekiel Polk
Samuel Polk,Jane Maria Polk
Samuel Polk,John Lee Polk
Samuel Polk,Lydia Eliza Polk
Samuel Polk,Marshall Tate Polk
Samuel Polk,Naomi Tate Polk
Samuel Polk,Ophelia Clarissa Polk
Samuel Polk,Samuel Wilson Polk
Debra Armstrong,Aaron Armstrong
Abraham Van Buren,Derike Van Buren
Abraham Van Buren,Lawrence Van Buren
"Rutherford Hayes, Jr.",Rutherford B. Hayes
Abram Garfield,James A. Garfield
Theodore Leslie Shear,"T. Leslie Shear, Jr."
"Rutherford Hayes, Jr.",Fanny Arabella Hayes
"Rutherford Hayes, Jr.",Lorenzo Hayes
"Rutherford Hayes, Jr.",Sarah Sophia Hayes
"Rutherford Hayes, Jr.",unnamed son Hayes
James Davenport Whelpley,Mary Brush
Patricia C. Frist,"Thomas F. Frist, III"
Dorsey Wiles Huckabee,Mike Huckabee
Natalie Gifford Wyatt,William F. Wyatt
Thomas Norval Hepburn,Katharine Hepburn
Henrietta Johnson Louis,John J. Louis Jr.
Edgar Prince,Erik Prince
Max S. Freudenberg,Ralph Freudenberg
Bill Christie,Chris Christie
Aldo Santorum,Rick Santorum
Vladimir Atanyan,Armen Atanyan
Bill Viola,Bill Viola Jr
Hetty MacLise,Ossian Kennard MacLise
Max S. Freudenberg,Arthur Oscar Freudenberg
"Richard Yuengling, Sr.","Richard Yuengling, Jr."
Edgar Prince,Betsy DeVos
Max S. Freudenberg,Ada Augusta Freudenberg
Thomas Martin O'Malley,Martin O'Malley
Max S. Freudenberg,Louis Julius Freudenberg
Caroline Georgina Fraser,Princesse Anna Murat
Caroline Georgina Fraser,Princesse Caroline Murat
Anne Hendricks Bass,Hyatt Bass
Max S. Freudenberg,Eugene Freudenberg Sr.
"James Stuart Gilmore, Jr.",Jim Gilmore
Chambers McKibbin,Joseph C. McKibbin
"Casimir Douglas Zdanowicz, Sr.","Casimir Douglass Zdanowicz, Jr."
Peggy Bundy,Bud Bundy
Merv Adelson,Gary Adelson
Rafael Bienvenido Cruz,Ted Cruz
Mario Rubio,Marco Rubio
William Duane,William J. Duane
Gouverneur Morris III,Gouverneur Morris IV
Peggy Bundy,Kelly Bundy
Virginia Chafee,Lincoln Chafee
James Henry Webb,Jim Webb
Max S. Freudenberg,Richard F. Freudenberg
Max S. Freudenberg,Charles Frederick Freudenberg
Sarah Cassirer,Roland Stefan Cassirer
Samantha Lewes,Colin Hanks
Joseph Robinette Biden Sr.,Joe Biden
Imogene Powers Johnson,Herbert Fisk Johnson III
Elizabeth Wooster Stuart Phelps,Elizabeth Stuart Phelps Ward
Llew Walker,Scott Walker
John Edward Winblad,Anton Julius Winblad II
John Edward Winblad,Otto Perry Winblad
Robert S. Cassatt,Alexander Cassatt
Max S. Freudenberg,Grace May Freudenberg
Edward Zuckerberg,Arielle Zuckerberg
Leroy Harris senior,Leroy Harris junior
Marcus Goodrich,Benjamin Briggs Goodrich
Barbara  O'Malley,Martin O'Malley
John Alexander McDougall,Walt McDougall
Robert S. Cassatt,Mary Cassatt
Marie Hubert Frohman,Philip H. Frohman
Adeline Lee Dalton,Bob Dalton
Dee Ocleppo,Julian Ocleppo
Max S. Freudenberg,Clara Freudenberg
Samantha Lewes,Elizabeth Hanks
John Edward Winblad,Maria Elizabeth Winblad
Henry Morgenthau III,Kramer Morgenthau
Eleanor Lynn,Mark Helprin
Peter E. King,Peter King
Adeline Lee Dalton,Gratton Dalton
Percy Orthwein,Adolphus Busch Orthwein
Sarah Cassirer,Katherine Laura Cassirer
Eleanor Wilson Cruz,Ted Cruz
Susan L. Tepper,Arielle Tepper Madover
Louisa Catherine Strobel,Daniel Strobel Martin
George Washington Paschal,George Washington Paschal
Siegmund Freudenberg,Gertrude Freudenberg
Edward Zuckerberg,Mark Zuckerberg
Clarisse Coudert,Charles C. Nast
John Kasich,John Kasich
Edward Zuckerberg,Donna Zuckerberg
Clarisse Coudert,Natica Nast Warburg
Frederick Trump,John G. Trump
Ruthie Ann Miles,Abigail Blumenstein
Edward Zuckerberg,Randi Zuckerberg
Adeline Lee Dalton,Emmett Dalton
Frederick Trump,Fred Trump
Robert S. Cassatt,Lydia Cassatt
Earl W. Johnson,Gary Johnson
James Henry Van Alen,James J. Van Alen
Siegmund Freudenberg,Max S. Freudenberg
Gouverneur Morris III,Henrietta Fairfax Morris
David Courlander,Harold Courlander
Candy Carson,Murray Carson
Lewis Dalton,Bob Dalton
Henry F. DeBardeleben,Henry T. DeBardeleben
F.J. Graham,Lindsey Graham
Baquer Namazi,Siamak Namazi
Emil August Schneider,Eddie August Schneider
Adeline Lee Dalton,Frank Dalton
Adeline Lee Dalton,William M. Dalton
Barbara Zeisl Schoenberg,E. Randol Schoenberg
Candy Carson,Rhoeyce Carson
Lewis Dalton,Gratton Dalton
William Rice,William North Rice
Clare Beecher Kummer,Marjorie Kummer
Mary Margaret Burke,Thomas Patrick Norton II
Candy Carson,Ben Carson Jr.
Morty Seinfeld,Jerry Seinfeld
Eliza Kortright Monroe Hay,Hortensia Hay
John Ashhurst,Astley Paston Cooper Ashhurst
Norman Rosemont,David A. Rosemont
Emil August Schneider,Alice Paula Schneider
Caroline Georgina Fraser,Prince Achille Murat
Lewis Dalton,Emmett Dalton
Lucy Hayward Barker,Eleanor Barker McCargar
John Paradise,John Wesley Paradise
Louis P. Pataki,George Pataki
William Frank Wyatt,William F. Wyatt
Dane Lussier,Deke Richards
Lewis Dalton,Frank Dalton
"William Robinson, Jr.",William O'Hara Robinson
Lewis Dalton,William M. Dalton
Caroline Georgina Fraser,Louis Napoléon Murat
John Posey,Tyler Posey
Robert Solomon Carson,Ben Carson
Barbara Zeisl Schoenberg,Marlena Fejzo
Cora Combs,Debbie Combs
Cyril A. Stebbins,Robert C. Stebbins
Robert Leroy Ehrlich,Bob Ehrlich
John Sebastian,John Sebastian
William B. Foster,Stephen Foster
William Ritter,Eugénie Ritter
Rebecca Merritt Austin,Josephine Cornelia Austin Bruce
Rebecca Merritt Austin,Mary Alvie Hail
Frederic Wakeman,Frederic Wakeman
Samuel Reading Bertron,Elizabeth Bertron Fahnestock
Charles Gardner Shaw,Charles Gardner Shaw
Joseph Ray Perry,Rick Perry
Priscilla Chan,Maxima Zuckerberg
Mary Margaret Burke,Vincent Gerard Norton
Gabrielle Burton,Maria Burton
Mary Margaret Burke,James Joseph Norton II
Chet Hanks,Michaiah Hanks
Caroline Georgina Fraser,"Joachim, 4th Prince Murat"
George Gonzales,Javier Gonzales
Chambers McKibbin,David B. McKibbin
Barry Shipman,Nina Shipman
Lugene Sanders,Kimberly Quinn
William B. Foster,Morrison Foster
William B. Foster,Anne Eliza Foster Buchanan
"John H. Kerr, Jr.","John H. Kerr, III"
Mohamed Elhassan Mohamed,Ahmed Mohamed
Marbury Bladen Ogle,Marbury Bladen Ogle Jr.
Don Parmley,David Parmley
Dorothy Sanders,Larry Sanders
Mary Anne MacLeod,Robert Trump
Dorothy Sanders,Bernie Sanders
Jenny McGarry,Mallory O'Brien
Mary Anne MacLeod,Maryanne Trump Barry
George Christian Anthon,Charles Anthon
Asaph Hall II,Asaph Hall
Mary Anne MacLeod,Elizabeth Trump Grau
John Driver,Jamie Driver
Ken Englund,George Englund
Elizabeth Jean Scott,Tony Scott
Margaret Agnew Blennerhassett,Dominick Blennerhassett
Margaret Agnew Blennerhassett,Joseph S. Lewis Blennerhassett
Holly Collins,Kalen Keach
Marika Gerrard,Katy Tur
Emily Vanderbilt Sloane,Alice Frances Hammond
Emily Vanderbilt Sloane,Emily Hammond
Emily Vanderbilt Sloane,Adele Hammond
Emily Vanderbilt Sloane,Rachel Hammond
Sasha Czack,Sage Stallone
Sasha Czack,Seargeoh Stallone
Ken Englund,Patricia Englund
John J. Giblin,Thomas P. Giblin
Tom Urich,Justin Urich
Audree Wilson,Brian Wilson
Audree Wilson,Carl Wilson
Elizabeth Jean Scott,Ridley Scott
Audree Wilson,Dennis Wilson
Ralph Brewster Noyce,Robert Noyce
Rose Kleiner,Robert Kleiner
Charles Henry Kunsman,"Charles Henry Kunsman, Jr."
Carol Porter Gabbard,Tulsi Gabbard
Oriales Rubio,Marco Rubio
Viktor Knavs,Melania Trump
David Campion Acheson,Eleanor D. Acheson
Michael Dobson,Jessica Dobson
Richard Taubman,Jack Paris Brinkley Cook
John Traina,Nick Traina
John Traina,Zara Alexandra Traina
John Traina,Maximilian John Traina
John Traina,Victoria Lea Traina
Brian Egan,Kendall Egan
Anne Kasich,John Kasich
John Traina,Todd Traina
John Traina,Vanessa Danielle Traina
Mary Anne MacLeod,Donald Trump
Harriet May Norton,Robert Noyce
Margaret Agnew Blennerhassett,Harman Blennerhassett
Claude-Éric Lazard,Beatrix Lazard Seidenberg
Sonya Carson,Ben Carson
John Traina,Trevor Traina
Mary Brush,Jane Coates
Emily Vanderbilt Sloane,John H. Hammond
Mary Brush,Nancy Douglas Bowditch
George Christian Anthon,John Anthon
George Christian Anthon,Henry Anthon
Su gfa,Amanda Peet
Peter Cook,Sailor Brinkley Cook
Ann McDonough,Betty Gilpin
Mary Brush,Gerome Brush
Mauricio Umansky,Alexia Umansky
Mauricio Umansky,Sophia Umansky
Charles Alexander Robinson,"Charles A. Robinson, Jr."
Jonathan Mason Warren,"John Collins Warren, Jr."
Oliver Harriman,Anne Harriman Vanderbilt
Louis Otto Kunkel,Henry Kunkel
Thomas Fanning Wood,Edward Jenner Wood
Cliven Bundy,Cliven Lance Bundy
Cliven Bundy,Ryan Bundy
Mohamed Hadid,Marielle Hadid
Noah Jemisin,N. K. Jemisin
Paulette Rubinstein,Liane Alexandra Curtis
Edward Young Buchanan,Marie Lois Buchanan Cassatt
Cliven Bundy,Ammon Bundy
Barbara Redington,Ryan Redington
Theodore Marburg Sr.,"Theodore Marburg, Jr."
Mauricio Umansky,Portia Umansky
Gerald Broflovski,Kyle Broflovski
Oliver Harriman,J. Borden Harriman
Helen O'Donnell,Kathleen O'Donnell
Helen O'Donnell,"Kenneth O'Donnell, jr."
Vincent Clarence Price,"Vincent Leonard Price, Sr."
Dora Ford,Roy Benson
Mary Scranton,William Scranton III
Herbert Überall,Q22668127
Oliver Harriman,"Oliver Harriman, Jr."
Oliver Harriman,Herbert M. Harriman
"Frank Cooper Craighead, Sr.",Frank Craighead
Christopher Few,Jeremy Mardis
Stanley Silverman,Ben Silverman
Jeanne Martin,Dean Paul Martin
Richard Hume Lancaster,Hume Lancaster
Electra Waggoner,"Albert Buckman Wharton, Jr."
"Frank Cooper Craighead, Sr.",John Craighead
Thomas M. Graber,Lee Graber
Arthur Hurst Moser,Charles Arthur Moser
Paul Rossi,Enzo Rossi
William F. Frye,Eric Max Frye
Mary Oldrin,Abram Oldrin Salter
"Oliver Harriman, Jr.",Oliver Carley Harriman
Estella Sneider,Mauricio Umansky
Rocky Parker,Noelle Parker
K. Elmo Lowe,Stanja Lowe
Sarah Oldrin,Anna Augusta Kershaw
Owen Crump,Douglas P. Owen
Marie Lois Buchanan Cassatt,Edward B. Cassatt
Eliza Clayland Tomlinson Foster,Stephen Foster
"Frank Cooper Craighead, Sr.",Jean Craighead George
Herbert Überall,Bertrand Überall
Rocky Parker,Corey Parker
Cindy Costner,Lily Costner
Edward Porter Humphrey,Edward William Cornelius Humphrey
Sarah Oldrin,Mary Elizabeth Kershaw
Ivy Nicholson,Pénélope Palmer
Elinor Morgenthau,Joan Morgenthau Hirschhorn
"Stewart W. Bainum, Sr.","Stewart W. Bainum, Jr."
Caroline Starr Balestier,Elsie Bambridge
P. J. Keenan,Nancy Keenan
Anne Eliza Foster Buchanan,Marie Lois Buchanan Cassatt
Anna Allen Wright,Margaret R. Wright
Eliza Clayland Tomlinson Foster,Morrison Foster
Eliza Clayland Tomlinson Foster,Anne Eliza Foster Buchanan
Benjamin Apthorp Gould,Benjamin Apthorp Gould
James Everard Benedict,James Everard Benedict
William Francis Thompson,"William Francis Thompson, Jr."
Sarah Oldrin,Sarah Kershaw
Caroline Starr Balestier,John Kipling
George F. Papenfuss,Theodore Papenfuss
Marilyn Lovell,Jay Lovell
Harry Wesley Bass Sr.,Harry Wesley Bass Jr.
Morgan Spector,James Spector
Jean Wechsler Knapp,Caroline Knapp
Robert Katims,Jason Katims
B.J. Annis,Teddy Hart
William Henry Bloomberg,Marjorie Tiven
Elinor Morgenthau,Robert M. Morgenthau
Bruce Dayton,Mark Dayton
Jeptha Wade,Randall Palmer Wade
Everett Nordstrom,Anne Gittinger
Wesley E. Lanyon,Scott M. Lanyon
Virginia Earp,Wyatt Earp
Anna Scarpulla,Gregory Romano
Anna Scarpulla,Matt Romano
Clara Bryant Ford,Edsel Bryant Ford
William Henry Bloomberg,Michael Bloomberg
Marilyn Lovell,Barbara Lovell
Marilyn Lovell,Jeffrey Lovell
Raymond Reddington,Elizabeth Keen
Paul Alexander Bartlett,Steven James Bartlett
Everett Nordstrom,Bruce Nordstrom
Elinor Morgenthau,Henry Morgenthau III
Sarah Oldrin,Amy O. Kershaw
Marilyn Lovell,Susan Lovell
Virginia Earp,Morgan Earp
John T. Polhemus,Dan A. Polhemus
Caroline Starr Balestier,Josephine Kipling
Patricia M. Collins,Susan Collins
Virginia Earp,Virgil Earp
Virginia Earp,James Earp
Robert D. Acland,Beatrice Maud Acland
Robert D. Acland,Benjamin Thomas Acland
Robert D. Acland,Daniel James Acland
Robert D. Acland,Emily Grace Acland
Charlotte Bloomberg,Marjorie Tiven
"William Sloane Coffin, Sr.",William Sloane Coffin
Willard Joseph Chamberlin,Hope Chamberlin
Blanche Lovell,Jim Lovell
Laurie Carlos,Ambersunshower
Mohamed Hadid,Bella Hadid
Mohamed Hadid,Alana Hadid
Virginia Earp,Warren Earp
Jacob F. Schoellkopf,Henry Schoellkopf
Edward Brooke Lee,Blair Lee III
Charlotte Bloomberg,Michael Bloomberg
David Wiesen,S. Jonathan Wiesen
Ralph Farquhar,Busdriver
Mabel Ford,Jack Curtis
Mohamed Hadid,Anwar Hadid
Jack Murdock,Daredevil
William Hathaway Forbes,William Cameron Forbes
Sheila Ryan,Scott Caan
"Vincent Leonard Price, Sr.",Vincent Price
Elinor Mead Howells,John Mead Howells
Carla Dean,Eric Dean
Helen O'Donnell,Helen O'Donnell
Helen O'Donnell,Kevin O'Donnell
Robert Clayton Dean,Eric Dean
Jack Jones,Jack Lawrence Jones
Christian Holmes IV,Elizabeth Holmes
Barbara Redington,Ray Redington
Margaret Winship Eytinge,Pearl Eytinge
Mohamed Hadid,Gigi Hadid
Seth Bonder,Lisa Bonder
Helen O'Donnell,Mark O'Donnell
Barbara Redington,Robert Redington
William Elliott,Damon Elliott
Almy Kinner,Mary Oldrin
Hanna Szumańska,Jan T. Gross
Edmund W. Giesbert,Ed Gilbert
"James Harvey Irvine, Sr.","James Harvey Irvine, Jr."
Ruth Mulan Chu Chao,Elaine Chao
Darnell Gregorio-De Palma,Willa Holland
Juanita Vanoy,Jeffrey Jordan
Almy Kinner,"William Oldrin, Jr."
Robert Aaron Gordon,Robert J. Gordon
Almy Kinner,Almy Oldrin Wood
Anna Robeson Brown,Dorothy Burr Thompson
Annie Clark Tanner,Obert C. Tanner
"James Harvey Irvine, Sr.",Myford Plum Irvine
Dany Garcia,Simone Alexandra Johnson
Frederick Lothrop Ames,"Frederick Lothrop Ames, Jr."
Jeremy Stone,Nathan Stone
Zygmunt Gross,Jan T. Gross
Charles Bertrand Lewis,Eileen Moretta
Athalie Clarke,Joan Irvine Smith
Almy Kinner,Ann Seabury Oldrin
James C. McGloon,Thomas A. McGloon
Henry Janssen,Helen Janssen Wetzel
Cindy Harrell,Cassidy Horn
Mary Jane Warfield,Brutus J. Clay II
Lucille Vines,Mathilde Bonnefoy
Clara Abbott,Eleanor Abbott
Almy Kinner,Sarah Oldrin
Madison Clark,Nick Clark
Mrs. Stone,Eli Stone
Max D. Raiskin,Zalmy Raiskin
Edmund Stevens,Anastasia Stevens
Ed Cage,Nicole Paris
Darnell Gregorio-De Palma,Piper De Palma
Murray Kushner,Marc Kushner
Frederick M. Ayres Sr.,Lyman S. Ayres II
