person,child
Michael Giacchino,Melinda Giacchino
Arnold Schoenberg,Nuria Nono-Schönberg
George Carlin,Kelly Carlin
Arnold Schoenberg,Larry Schönberg
Steve McQueen,Chad McQueen
Charles Dana Gibson,Irene Langhorne Gibson Emery
Gene Hackman,Elizabeth Jean Hackman
John Constable,Lionel Bicknell Constable
Mark Rothko,Kate Rothko
Mark Rothko,Christopher Rothko
John D. Rockefeller,John D. Rockefeller Jr.
Michael Giacchino,Matthew Giacchino
Pat Nixon,Julie Nixon Eisenhower
Freeman Dyson,George Dyson
Arnold Schoenberg,Georg Schönberg
Gene Hackman,Christopher Allen Hackman
John Constable,Charles Golding Constable
Jenna Bush Hager,Margaret Hager
Gene Hackman,Leslie Anne Hackman
Marlon Brando,Christian Brando
Rutherford B. Hayes,Frances Hayes
Rutherford B. Hayes,George Cook Hayes
Rutherford B. Hayes,James Webb Hayes
Rutherford B. Hayes,Joseph Thompson Hayes
Rutherford B. Hayes,Manning Force Hayes
Rutherford B. Hayes,Sardis Birchard (Austin) Hayes
Rutherford B. Hayes,Scott Russell Hayes
Matthew Broderick,James Wilkie Broderick
Brenda Strong,Zak Henri
Herbert Hoover,Allan Hoover
Bill D'Elia,Chris D'Elia
Linus Torvalds,Celeste Amanda Torvalds
James A. Garfield,James Rudolph Garfield
Matthew Broderick,Tabitha Hodge Broderick
Bela Lugosi,Bela G. Lugosi
James A. Garfield,Harry Augustus Garfield
Chester A. Arthur,Ellen Herndon Arthur
Chester A. Arthur,William Lewis Herndon Arthur
Linus Torvalds,Patricia Miranda Torvalds
Lionel Richie,Sofia Richie
Lionel Richie,Miles Richie
Linus Torvalds,Daniela Yolanda Torvalds
Ulysses S. Grant,Nellie Grant
Ulysses S. Grant,"Ulysses S. Grant, Jr."
David Petraeus,Stephen Petraeus
Walter Cronkite,Kathy Cronkite
James A. Garfield,Eliza Garfield
Ulysses S. Grant,Jesse Root Grant
James A. Garfield,Abram Garfield
Woodrow Wilson,Margaret Woodrow Wilson
Ann Druyan,Sasha Sagan
Warren G. Harding,Elizabeth Ann Blaesing
James A. Garfield,Edward Garfield
James A. Garfield,Irvin McDowell Garfield
James A. Garfield,Mary Garfield
Calvin Coolidge,"Calvin Coolidge, Jr."
Theodore Roosevelt,Theodore Roosevelt Jr.
Danny DeVito,Lucy DeVito
Ulysses S. Grant,Frederick Dent Grant
Theodore Roosevelt,Quentin Roosevelt
Peter Griffin,Chris Griffin
William McKinley,Katherine McKinley
Woodrow Wilson,Jessie Woodrow Wilson Sayre
Elizabeth Taylor,Maria Burton
Bill Murray,Cooper Murray
Gwyneth Paltrow,Apple Martin
Benjamin Harrison,Mary Harrison McKee
Theodore Roosevelt,Kermit Roosevelt
William McKinley,Ida McKinley
Benjamin Franklin,William Franklin
Benjamin Franklin,Francis Folger Franklin
Grover Cleveland,Ruth Cleveland
Woodrow Wilson,Eleanor Wilson McAdoo
Frances Fisher,Francesca Eastwood
Elizabeth Taylor,Michael Wilding jr.
Gwyneth Paltrow,Moses Martin
Theodore Roosevelt,Ethel Roosevelt Derby
Danny DeVito,Gracie DeVito
Calvin Coolidge,John Coolidge
Peter Griffin,Stewie Griffin
Benjamin Harrison,Elizabeth Harrison Walker
Melvil Dewey,Godfrey Dewey
Grover Cleveland,Esther Cleveland
Frank Malina,Roger Malina
Grover Cleveland,Richard F. Cleveland
Alexander Spotswood,Anne Catherine Spotswood
Danny DeVito,Jake DeVito
William Howard Taft,Charles Phelps Taft II
Peter Griffin,Meg Griffin
Theodore Roosevelt,Archibald Roosevelt
Lita Grey,Sydney Chaplin
Lita Grey,Charles Chaplin
Rutherford B. Hayes,Webb Hayes
William Howard Taft,Helen Taft Manning
Benjamin Harrison,Russell Benjamin Harrison
Benjamin Franklin,Sarah Franklin Bache
Theodore Roosevelt,Alice Roosevelt Longworth
William Howard Taft,Robert Alphonso Taft
Marlon Brando,Stephen Blackehart
Marlon Brando,Simon Teihotu Brando
Brad Pitt,Maddox Chivan Jolie-Pitt
Alfred Victor du Pont,Lammot du Pont I
Alan Harper,Jake Harper
Whitney Houston,Bobbi Kristina Brown
Grover Cleveland,Francis Cleveland
William Shippen,William Shippen
Herbert Hoover,"Herbert Hoover, Jr."
Chester A. Arthur,Chester Alan Arthur II
Marlon Brando,Miko Castaneda Brando
Elizabeth Taylor,Christopher Edward Wilding
Elizabeth Taylor,Elizabeth Frances Todd
Brad Pitt,John Jolie-Pitt
Rutherford B. Hayes,Rutherford P. Hayes
Benjamin Harrison,unnamed daughter Harrison
Marlon Brando,Rebecca Brando
Grover Cleveland,Marion Cleveland
Marlon Brando,Cheyenne Brando
Mary Jane Watson,Spider-Girl
Mary Jane Watson,Benjamin Richard Parker
Frank Capra,"Frank Capra, Jr."
Judy Garland,Lorna Luft
Francis Ford Coppola,Roman Coppola
Mark Twain,Clara Clemens
Mark Twain,Jean Clemens
Ted Schroeder,John Schroeder
Thelma Estrin,Deborah Estrin
Thelma Estrin,Judith Estrin
Rupert Murdoch,Chloe Murdoch
Tommy Haas,Valentina Evelyn Haas
Frank Lloyd Wright,Lloyd Wright
Nelson Rockefeller,Mark Rockefeller
Frank Lloyd Wright,John Lloyd Wright
Judy Garland,Liza Minnelli
Rupert Murdoch,Elisabeth Murdoch
Vincente Minnelli,Liza Minnelli
John Cassavetes,Nick Cassavetes
J. P. Morgan,"John Pierpont Morgan, Jr."
J. P. Morgan,Anne Morgan
Barbra Streisand,Jason Gould
Francis Ford Coppola,Gian-Carlo Coppola
John Cassavetes,Zoe Cassavetes
